sample_idx,CKA
0,0.1902437012648851
1,0.4638458708307136
2,0.8363656657823891
3,0.5374997411776934
4,0.12234261039855865
5,0.047338009503810397
6,0.10068503962691999
7,0.12691622558732818
8,0.31762947574033573
9,0.6314169374124587
10,0.9633556655104699
11,0.9165073803524336
12,0.8087571411850157
13,0.8033658486628072
14,0.6305182051621927
15,0.5429575063591214
16,0.6242980567180969
17,0.882912832636189
18,0.9395916202020527
19,0.3655673175250237
20,0.29202067515173913
21,0.6939004794032277
22,0.7244359419492954
23,0.8423888137949194
24,0.9223690937419544
25,0.960396473431438
26,0.8133250695145748
27,0.4966020100356735
28,0.7283817208946737
29,0.49481993807691493
30,0.2854115155100464
31,0.4862475110381774
32,0.4726568371755615
33,0.8059563164061109
34,0.720528889253493
35,0.7254758445435313
36,0.5872837287728965
37,0.5787037432625415
38,0.8588263606587137
39,0.8994185350326924
40,0.5739166668904585
41,0.8465714060408995
42,0.811227486342113
43,0.45844974775849423
44,0.28296274516409825
45,0.3774149138577304
46,0.6911305057448738
47,0.6833588137242165
48,0.33378050078067256
49,0.24199007213488533
50,0.2985409338182523
51,0.7085295973160425
52,0.4523530855870962
53,0.17047912065439397
54,0.091657058511606
55,0.13518785777954412
56,0.46073674824835187
57,0.787804173533148
58,0.8424756662410426
59,0.9725965322294384
60,0.7036179441062147
61,0.5202461853206823
62,0.47585722250351903
63,0.5329492406214089
64,0.7437605245543191
65,0.9069495889465281
66,0.9667351917564309
67,0.8596283815847665
68,0.44749212462429
69,0.11515473913143659
70,0.1428188349663052
71,0.12898644705407625
72,0.20503089468558644
73,0.4202203263215468
74,0.4377045359650974
75,0.3745411287686351
76,0.27104702314097484
77,0.14080388635643615
78,0.4257516178054078
79,0.7204161718920543
80,0.937031518220143
81,0.7492532908228532
82,0.705201866500438
83,0.8849527924346887
84,0.5516968179543482
85,0.25751165109680607
86,0.32609819581952004
87,0.1282705655475812
88,0.7328829946860471
89,0.7923381205412353
90,0.9649746100016908
91,0.6584388452938024
92,0.5409525825155077
93,0.9816360513323267
94,0.790812569349266
95,0.8677524304006639
96,0.6747095972637843
97,0.6712870371888292
98,0.8108429203276002
99,0.6978228408749518
100,0.21656234521920958
101,0.0834801550840848
102,0.6793841102095354
103,0.8594120545692028
104,0.8081731606610438
105,0.7912150569408716
106,0.7426479526468506
107,0.7323644117173178
108,0.5988362655880305
109,0.6397531223177022
110,0.361907909880009
111,0.37865874222586127
112,0.07008162657620498
113,0.07623967865378445
114,0.39967717320013196
115,0.5751390314037439
116,0.6721060328281074
117,0.6530555829832958
118,0.4141875571788698
119,0.1994188122446522
120,0.3112614685053652
121,0.8514835971134727
122,0.4850474632714542
123,0.2371270972650228
124,0.12867280128988878
125,0.24978258339639137
126,0.3537103891478812
127,0.4827092817294947
128,0.39752086037035705
129,0.12908536919720526
130,0.06328325218323538
131,0.04011645005824216
132,0.1514843994713011
133,0.2676031296375183
134,0.30209517198907976
135,0.5547961813772332
136,0.5364420842603503
137,0.3269314078206804
138,0.19564973330052426
139,0.17434673804049738
140,0.3628251306418193
141,0.44237051003462524
142,0.39526046530205616
143,0.251026477819827
144,0.051389687739419654
145,0.056862469738163224
146,0.38900575771926604
147,0.5940586606442442
148,0.6336071426707919
149,0.3421163467267532
150,0.2703500462325036
151,0.29010428358583573
152,0.21789061094534812
153,0.21099917344949704
154,0.143632454298962
155,0.045427151643849806
156,0.05567754935739622
157,0.16549177271075088
158,0.31435410472548075
159,0.5706403110346333
160,0.6897440045326422
161,0.5674980902010175
162,0.3006567206173393
163,0.11787482523532367
164,0.1134827598112702
165,0.3001406009162779
166,0.6088142193428379
167,0.8134399071229166
168,0.29997831365673666
169,0.49335405188983994
170,0.934491484476744
171,0.49861027439395444
172,0.1312119331858902
173,0.44091423863762114
174,0.9153496089100142
175,0.6290104751676935
176,0.25238810638723397
177,0.10752346838739624
178,0.09576280765963563
179,0.03660823643219202
180,0.1062147897482204
181,0.2566901270346551
182,0.8656961272298771
183,0.5257977617146411
184,0.19196323910712643
185,0.13164279395373657
186,0.1271664458025532
187,0.11355484229276724
188,0.05322923138381741
189,0.1130679571202059
190,0.27874861818404917
191,0.3366662832065499
192,0.23740680709194262
193,0.09254642223589138
194,0.042449574092820797
195,0.09665222065908718
196,0.18697572662317252
197,0.6445527818494667
198,0.8547694522696152
199,0.33182979496630827
200,0.8834625441725998
201,0.6508686532634094
202,0.26257320613186397
203,0.031241437706448605
204,0.018351531673504784
205,0.11130983956637164
206,0.12991175820564038
207,0.098095586550217
208,0.12709654095004574
209,0.5032083030244524
210,0.8745336250199918
211,0.4670952086877771
212,0.061171704614901956
213,0.10781391900636283
214,0.2783781033583026
215,0.374820747709686
216,0.4480935236599003
217,0.4131096905176007
218,0.6615781773791736
219,0.6340273780867127
220,0.9224247076880399
221,0.6464061698648604
222,0.4540465685483215
223,0.3084058020842274
224,0.2793776879445552
225,0.3666714833736493
226,0.6426968171115538
227,0.6457657144406381
228,0.46842268338774606
229,0.23321930423463844
230,0.3295833418285057
231,0.4135315213898798
232,0.784627649769426
233,0.6933178288519737
234,0.6558021898566071
235,0.8400458988078778
236,0.85131635622074
237,0.4239578626898741
238,0.2715833761931422
239,0.3547108992347804
240,0.4511040498244676
241,0.6337766132897225
242,0.723063908359292
243,0.7811905524024746
244,0.7957555884652625
245,0.5065530240409464
246,0.348682040203504
247,0.37903985344456437
248,0.27530519041470414
249,0.12959781272228332
250,0.08425170405147098
251,0.25076971159729344
252,0.889688198108557
253,0.6370568966328352
254,0.21944394061050587
255,0.27351918858225766
256,0.47627608150095435
257,0.768042433142484
258,0.29088833590060403
259,0.0938824766922206
260,0.22718262854321059
261,0.2963757648992865
262,0.40919640431688176
263,0.79797020788126
264,0.6041781225478977
265,0.35665729605772745
266,0.26643762011006467
267,0.12550917098332592
268,0.369951392130783
269,0.48830772869074235
270,0.8304029891231989
271,0.8007129879098374
272,0.3325182754415149
273,0.7217804347752987
274,0.8304738874241865
275,0.8096780254334754
276,0.3422604536372854
277,0.3008282714753997
278,0.4147016289655383
279,0.580186578286784
280,0.5319670525146398
281,0.8125508308184759
282,0.5526929805213331
283,0.17009976621698153
284,0.11219773476627315
285,0.24109408661115328
286,0.3883472126402773
287,0.9209910508095631
288,0.7469586820233061
289,0.5147781253425749
290,0.3839974457489863
291,0.33766621668065366
292,0.3985569524863918
293,0.4370146691925395
294,0.7450240096691512
295,0.8598400905102941
296,0.7613625146131577
297,0.9271330617033242
298,0.8907675780960463
299,0.9384068108493432
300,0.8733177441796204
301,0.4653752841989839
302,0.9158881388440572
303,0.9029405308408263
304,0.8526051239540556
305,0.9170183892570727
306,0.8684612369888155
307,0.6747387533950027
308,0.865036304629211
309,0.9090140775712474
310,0.7928474085691489
311,0.9227380408028723
312,0.9487282763163084
313,0.6892500601682121
314,0.5130405527589662
315,0.3949916950372353
316,0.8791590521809846
317,0.9209999953923186
318,0.544059794798438
319,0.1641603183822069
320,0.17779405442436536
321,0.19972343356404
322,0.08816221233026544
323,0.03062979652715403
324,0.035505313776296954
325,0.0172305512306572
326,0.04530409882730002
327,0.1692469793123218
328,0.2713758473482466
329,0.2754390640585064
330,0.29592579492344906
331,0.6868117757496216
332,0.7624567921384672
333,0.8409981748127476
334,0.8218024596959932
335,0.8177247201707887
336,0.5077931012127489
337,0.5551933019206325
338,0.6672469670989696
339,0.41789736456073545
340,0.21396143560514957
341,0.08410537666404161
342,0.49708290944644085
343,0.597474266244935
344,0.4189797485113086
345,0.2492206840080009
346,0.12554583542331732
347,0.15575334626459614
348,0.4600745031855452
349,0.6921432270430934
350,0.44787458953350134
351,0.09602813637162677
352,0.1276074157920407
353,0.3426267239725336
354,0.646733870641343
355,0.7486682943907965
356,0.24015552173898025
357,0.7469338020385026
358,0.884585170145024
359,0.4682386949471792
360,0.2209973872647596
361,0.4567655304036161
362,0.5286690596568969
363,0.4295263689879091
364,0.15460465854562055
365,0.11741608193130226
366,0.4271634129368951
367,0.5641056551282423
368,0.5105820925038538
369,0.36842008073359245
370,0.21784954650337085
371,0.2801049672267786
372,0.4935835546340891
373,0.8292286411459522
374,0.5184244949873522
375,0.085028157253356
376,0.31330427569324304
377,0.6497308989170447
378,0.7422373149594466
379,0.6316587816438481
380,0.4679004431432061
381,0.7776063702156845
382,0.501276163448794
383,0.37589497610192035
384,0.2426254542847549
385,0.2446168103094185
386,0.24495887974332076
387,0.14339043706456367
388,0.07824232010073762
389,0.04087488067810041
390,0.31910084265136207
391,0.5381362511516473
392,0.7560513034712261
393,0.7813546747703138
394,0.46384735961167856
395,0.2894520320315225
396,0.10029071760513142
397,0.03331730025724078
398,0.05875149283910197
399,0.14152867428721638
400,0.34426743490493916
401,0.4506226958632732
402,0.5989927589790782
403,0.8065211101267343
404,0.5617903499885146
405,0.7835321334633029
406,0.8387723873253893
407,0.7876091235424796
408,0.9148300291382949
409,0.9411239905292386
410,0.7980557812268465
411,0.40458850445813266
412,0.10569545332351382
413,0.017475384045166797
414,0.03872505336800158
415,0.1189659599686802
416,0.25944390089187497
417,0.23962684210888774
