sample_idx,CKA
0,0.4062895067174621
1,0.6245277297291634
2,0.7139600761548496
3,0.9818496665469127
4,0.9818496665469127
5,0.9818496665469127
6,0.5632605655999421
7,0.25918119026006825
8,0.1487572089555027
9,0.2638972837766381
10,0.6442869923398054
11,0.7260017334466172
12,0.9210554815027807
13,0.9226886436530073
14,0.5771496945794024
15,0.42315223779909794
16,0.3114088396044178
17,0.372197524186336
18,0.36105791778203844
19,0.5377811521424726
20,0.7133131593178739
21,0.5665468040968891
22,0.8449702825730934
23,0.9337563605353435
24,0.8336256267326202
25,0.7194083385235321
26,0.6731596658450731
27,0.9354042392181193
28,0.2978925862725884
29,0.11411307752459665
30,0.14464227003316144
31,0.30596690418810646
32,0.525515834902432
33,0.7133080189557659
34,1.0505686041433273
35,1.0505686041433273
36,1.0505686041433273
37,0.5656519793613075
38,0.2575700847388619
39,0.49851729902494857
40,0.5651245391891352
41,0.6529021817635783
42,0.7560891427074428
43,0.7600742579765275
44,0.4460060389139118
45,0.24124279906817458
46,0.10641627538990062
47,0.221970540162578
48,0.4116319456837243
49,0.4671669439551671
50,0.7134210171634772
51,1.018140671599364
52,1.018140671599364
53,0.5671048339473936
54,0.2697394999627558
55,0.11843227589592475
56,0.13965236386425095
57,0.29186959969476045
58,0.5052593771268163
59,0.7135690282400062
60,0.5671696919980536
61,0.8183271821421654
62,0.9622941913382815
63,0.9747313588116632
64,0.9006456397347173
65,0.8131441776178212
66,0.7133404375752258
67,1.018140671599364
68,1.018140671599364
69,1.018140671599364
70,1.018140671599364
71,0.5671046804845294
72,0.39129970243906653
73,0.3771674349360612
74,0.5098018231678199
75,0.945441558004748
76,0.7388303331756222
77,0.15198477889059092
78,0.27072765663292664
79,0.4671669439551671
80,0.7134210171634772
81,0.5670983929398035
82,0.40251062431557016
83,0.4086347275766663
84,0.5594418323709769
85,0.7625919898351153
86,0.9510085282441502
87,0.7134886923129133
88,1.0
89,1.0
90,0.5658272423116772
91,0.2773606904489946
92,0.18310416002016805
93,0.27170625535412973
94,0.8999130039228607
95,0.48679941145010597
96,0.18307540541978973
97,0.27239145482394767
98,0.46843655203935786
99,0.7133972651338543
100,1.0184297071871986
101,1.0184297071871986
102,1.0184297071871986
103,0.5665448287689414
104,0.2628165061443114
105,0.1111291072104007
106,0.226430360504703
107,0.4618402979256425
108,0.7336540623084427
109,0.8694609168773854
110,0.46756260354035595
111,0.6958027389744765
112,0.26265886837399377
113,0.13152471040915337
114,0.7004934547163291
115,0.7859906387332355
116,0.4186588702517212
117,0.16304059653489789
118,0.16730747002013824
119,0.22725175086650573
120,0.2468734207861868
121,0.270968608237116
122,0.46733034617704106
123,0.7134613780246253
124,1.0182612337351287
125,1.0182612337351287
126,1.0182612337351287
127,0.5669505054717142
128,0.28006800257471154
129,0.18374016515739267
130,0.26997825403289566
131,0.46650498870452695
132,0.713533061762197
133,1.0507213437299863
134,1.0507213437299863
135,0.5661016261820805
136,0.27795151931952455
137,0.18316970519809894
138,0.271365703136181
139,0.4675573708765596
140,0.9408677910498777
141,0.27690061215415696
142,0.3273207314030546
143,0.1330973878902998
144,0.09425648199525882
145,0.20616478384493264
146,0.5268020047412767
147,0.5677687351108442
148,0.5250214289550548
149,0.5598361728260004
150,0.6890148207686129
151,0.7895392389088232
152,0.7950980810392771
153,0.8226695056924429
154,0.8002053759032569
155,0.183587932774674
156,0.27018600811617444
157,0.4667553688454381
158,0.6306259260336073
159,0.27941650917842153
160,0.18352762257251043
161,0.27034951517623607
162,0.46695701239615217
163,0.7134160131542457
164,1.0
165,0.5674019714092601
166,0.4912167107635883
167,0.2649596568492727
168,0.4493743685251024
169,0.6957538658195649
170,0.9070170202436557
171,0.7960685044738088
172,0.32886915281184037
173,0.5367886324016384
174,0.7819514815569506
175,0.38933042885179825
176,0.185512926599935
177,0.5453962240691148
