,ticker,epoch,train_loss,val_loss
0,AAME,0,51.621620178222656,23.512903213500977
1,AAME,1,44.53680419921875,22.976871490478516
2,AAME,2,43.90922164916992,21.18548583984375
3,AAME,3,43.89725112915039,22.094547271728516
4,AAME,4,43.534515380859375,23.031112670898438
5,AAME,5,44.3095817565918,21.09752655029297
6,AAME,6,43.60658264160156,22.31020164489746
7,AAME,7,43.490684509277344,22.159751892089844
8,AAME,8,43.5736083984375,22.15891456604004
9,AAME,9,43.559268951416016,21.186939239501953
10,AAME,10,43.65292739868164,20.52123260498047
11,AAME,11,44.11259078979492,22.507160186767578
12,AAME,12,43.42865753173828,20.228025436401367
13,AAME,13,43.662391662597656,21.131669998168945
14,AAME,14,43.69013977050781,21.39183235168457
15,AAME,15,43.52448272705078,21.939144134521484
16,AAME,16,43.52037048339844,20.462726593017578
17,AAME,17,43.5487060546875,23.138399124145508
18,AAME,18,43.513919830322266,21.034454345703125
19,AAME,19,43.535675048828125,20.209850311279297
20,AAME,20,43.46159362792969,22.4492244720459
21,AAME,21,43.68272018432617,20.31728172302246
22,AAME,22,43.571895599365234,22.290939331054688
23,AAME,23,43.40736389160156,20.59178924560547
24,AAME,24,43.6324462890625,23.40619468688965
25,AAME,25,43.472312927246094,20.948177337646484
26,AAME,26,43.69331741333008,21.59773063659668
27,AAME,27,43.54928970336914,21.05108642578125
28,AAME,28,43.45537567138672,22.081710815429688
29,AAME,29,43.49496841430664,21.361452102661133
30,AB,0,52.047767639160156,37.57748031616211
31,AB,1,36.59883499145508,44.31851577758789
32,AB,2,34.50607681274414,29.378087997436523
33,AB,3,33.49992752075195,24.76856803894043
34,AB,4,34.04561996459961,26.998695373535156
35,AB,5,33.0379638671875,26.751384735107422
36,AB,6,32.76615524291992,25.828392028808594
37,AB,7,32.582115173339844,33.33144760131836
38,AB,8,32.86289596557617,23.20965003967285
39,AB,9,32.70176315307617,34.04943084716797
40,AB,10,32.72475814819336,32.361087799072266
41,AB,11,32.7186393737793,25.96746253967285
42,AB,12,32.70366668701172,32.147125244140625
43,AB,13,32.355316162109375,31.373645782470703
44,AB,14,32.312374114990234,31.489341735839844
45,AB,15,32.32001495361328,29.428638458251953
46,AB,16,32.684600830078125,24.15791130065918
47,AB,17,32.47329330444336,30.415937423706055
48,AB,18,32.95896911621094,32.64852523803711
49,ABCB,0,43.13172912597656,67.56747436523438
50,ABCB,1,39.53970718383789,66.95262145996094
51,ABCB,2,39.283809661865234,66.59444427490234
52,ABCB,3,39.30448532104492,72.14350128173828
53,ABCB,4,39.478057861328125,66.34957122802734
54,ABCB,5,39.53022003173828,66.91585540771484
55,ABCB,6,39.212806701660156,71.82774353027344
56,ABCB,7,39.32154846191406,71.33003234863281
57,ABCB,8,39.306434631347656,66.8747329711914
58,ABCB,9,39.128089904785156,69.58210754394531
59,ABCB,10,39.2421760559082,71.0786361694336
60,ABCB,11,39.52030944824219,69.32752990722656
61,ABCB,12,39.19282150268555,71.1999740600586
62,ABCB,13,39.28155517578125,70.28477478027344
