,ticker,epoch,train_loss,val_loss
0,AAME,0,70.423583984375,39.95730209350586
1,AAME,1,51.38312911987305,28.461402893066406
2,AAME,2,45.762977600097656,22.861785888671875
3,AAME,3,44.44057083129883,23.1065731048584
4,AAME,4,43.86945724487305,21.482847213745117
5,AAME,5,44.535125732421875,21.239707946777344
6,AAME,6,43.62013244628906,22.85753631591797
7,AAME,7,43.445438385009766,21.8656063079834
8,AAME,8,43.475624084472656,22.203826904296875
9,AAME,9,43.47502136230469,21.89011001586914
10,AAME,10,43.47746658325195,21.21343994140625
11,AAME,11,43.77263259887695,22.41994285583496
12,AAME,12,43.41899490356445,20.042095184326172
13,AAME,13,43.80300521850586,20.201568603515625
14,AAME,14,43.548851013183594,22.16654396057129
15,AAME,15,43.450260162353516,21.54674530029297
16,AAME,16,43.43285369873047,21.002323150634766
17,AAME,17,43.43080139160156,22.672086715698242
18,AAME,18,43.48467254638672,22.36357879638672
19,AAME,19,43.41005325317383,19.9886531829834
20,AAME,20,43.48822784423828,21.100698471069336
21,AAME,21,43.46455383300781,20.011754989624023
22,AAME,22,43.55826187133789,21.06593894958496
23,AAME,23,43.381221771240234,21.171287536621094
24,AAME,24,43.478118896484375,23.063016891479492
25,AAME,25,43.576961517333984,22.938823699951172
26,AAME,26,43.49277114868164,21.791040420532227
27,AAME,27,43.452877044677734,21.00248908996582
28,AAME,28,43.42387771606445,21.72971534729004
29,AAME,29,43.420528411865234,21.52402687072754
30,AB,0,50.06279754638672,39.63884735107422
31,AB,1,35.83290100097656,30.817537307739258
32,AB,2,32.66667556762695,30.030738830566406
33,AB,3,32.64702224731445,33.73295974731445
34,AB,4,32.57902526855469,26.702388763427734
35,AB,5,32.176414489746094,29.84859275817871
36,AB,6,32.226131439208984,25.123315811157227
37,AB,7,32.160945892333984,29.01447868347168
38,AB,8,32.209259033203125,31.289091110229492
39,AB,9,32.15751647949219,27.916597366333008
40,AB,10,32.292091369628906,31.57537841796875
41,AB,11,32.1976432800293,30.882463455200195
42,AB,12,32.08915328979492,30.92864990234375
43,AB,13,32.15742874145508,31.326183319091797
44,AB,14,32.202301025390625,29.780569076538086
45,AB,15,32.143367767333984,31.07813262939453
46,AB,16,32.10326385498047,32.125736236572266
47,ABCB,0,42.41996383666992,68.31489562988281
48,ABCB,1,39.18803787231445,70.20868682861328
49,ABCB,2,39.20951843261719,68.3773422241211
50,ABCB,3,39.17206954956055,69.44803619384766
51,ABCB,4,39.11955261230469,67.4391098022461
52,ABCB,5,39.228939056396484,68.1450424194336
53,ABCB,6,39.17788314819336,71.38607788085938
54,ABCB,7,39.18840789794922,67.45652770996094
55,ABCB,8,39.1446418762207,68.82390594482422
56,ABCB,9,39.05697250366211,70.0240249633789
57,ABCB,10,39.162086486816406,68.69671630859375
58,ABCB,11,39.26668930053711,69.96259307861328
59,ABCB,12,39.1182746887207,67.27766418457031
60,ABCB,13,39.076385498046875,70.81348419189453
61,ABCB,14,39.197410583496094,69.62576293945312
62,ABCB,15,39.13302993774414,67.97675323486328
63,ABCB,16,39.09430694580078,69.5467529296875
64,ABCB,17,39.12392044067383,70.64915466308594
65,ABCB,18,39.10900115966797,66.83731079101562
66,ABCB,19,39.21027374267578,66.83316802978516
67,ABCB,20,39.11552047729492,69.92245483398438
68,ABCB,21,39.2744140625,70.12554931640625
69,ABCB,22,39.1378059387207,70.25123596191406
70,ABCB,23,39.13025665283203,67.82653045654297
71,ABCB,24,39.17182159423828,68.08873748779297
72,ABCB,25,39.226806640625,68.5218276977539
73,ABCB,26,39.26706314086914,68.9149398803711
74,ABCB,27,39.150821685791016,67.62582397460938
75,ABCB,28,39.11214828491211,68.7226333618164
76,ABCB,29,39.058258056640625,68.24282836914062
77,ACGL,0,48.366878509521484,80.25958251953125
78,ACGL,1,44.54124069213867,80.2780990600586
79,ACGL,2,44.44427490234375,79.32843780517578
80,ACGL,3,44.469112396240234,78.5112533569336
81,ACGL,4,44.591346740722656,78.88436126708984
82,ACGL,5,44.407623291015625,79.57600402832031
83,ACGL,6,44.4439697265625,79.13338470458984
84,ACGL,7,44.40676498413086,80.24403381347656
85,ACGL,8,44.502376556396484,78.95648956298828
86,ACGL,9,44.498512268066406,78.8108139038086
87,ACGL,10,44.54566955566406,79.4530258178711
88,ACGL,11,44.37693405151367,79.38015747070312
89,ACGL,12,44.61988067626953,78.30062103271484
90,ACGL,13,44.4759521484375,78.34464263916016
91,ACGL,14,44.40378189086914,78.28447723388672
92,ACGL,15,44.427001953125,78.1443862915039
93,ACGL,16,44.41489028930664,78.59087371826172
94,ACGL,17,44.40093994140625,78.63710021972656
95,ACGL,18,44.498443603515625,79.69349670410156
96,ACGL,19,44.3774299621582,79.68550109863281
97,ACGL,20,44.446109771728516,78.66797637939453
98,ACGL,21,44.47996139526367,77.57271575927734
99,ACGL,22,44.528438568115234,77.63135528564453
100,ACGL,23,44.538856506347656,79.78424835205078
101,ACGL,24,44.42888641357422,79.6877670288086
102,ACGL,25,44.488624572753906,79.1067886352539
103,ACGL,26,44.46360778808594,77.94512176513672
104,ACGL,27,44.380889892578125,79.01976776123047
105,ACGL,28,44.39970779418945,78.2569351196289
106,ACGL,29,44.46394729614258,78.97106170654297
107,ACGL,30,44.66120147705078,79.88203430175781
108,ACGL,31,44.525638580322266,78.67407989501953
109,ACNB,0,28.130413055419922,42.84261703491211
110,ACNB,1,20.730871200561523,44.84415817260742
111,ACNB,2,20.766130447387695,43.11801528930664
112,ACNB,3,20.769357681274414,43.474571228027344
113,ACNB,4,20.687349319458008,40.75694274902344
114,ACNB,5,20.71687889099121,44.03654479980469
115,ACNB,6,20.697574615478516,45.040592193603516
116,ACNB,7,20.730030059814453,45.441307067871094
117,ACNB,8,20.9930477142334,39.67117691040039
118,ACNB,9,20.869739532470703,43.39583969116211
119,ACNB,10,20.770647048950195,45.065757751464844
120,ACNB,11,20.833255767822266,42.4387321472168
121,ACNB,12,20.676435470581055,46.27500534057617
122,ACNB,13,20.824337005615234,44.05511474609375
123,ACNB,14,20.708507537841797,45.41136169433594
124,ACNB,15,20.77008056640625,43.38909912109375
125,ACNB,16,20.773948669433594,42.45706558227539
126,ACNB,17,20.75078582763672,48.15223693847656
127,ACNB,18,20.755725860595703,40.61789321899414
128,AEG,0,43.83192443847656,35.11181640625
129,AEG,1,33.843807220458984,31.675535202026367
130,AEG,2,33.856239318847656,30.41541290283203
131,AEG,3,33.88362503051758,35.31352996826172
132,AEG,4,33.93182373046875,30.093170166015625
133,AEG,5,33.966156005859375,39.601646423339844
134,AEG,6,33.78825378417969,35.96072006225586
135,AEG,7,33.76300048828125,33.147178649902344
136,AEG,8,33.77277374267578,39.0248908996582
137,AEG,9,33.79753494262695,38.09970474243164
138,AEG,10,33.82334518432617,28.935462951660156
139,AEG,11,34.08283233642578,35.983699798583984
140,AEG,12,33.78200149536133,34.25210189819336
141,AEG,13,33.77753448486328,33.08028030395508
142,AEG,14,33.72947311401367,35.591190338134766
143,AEG,15,33.79598617553711,36.53009796142578
144,AEG,16,33.83443069458008,30.570119857788086
145,AEG,17,33.812740325927734,37.88386154174805
146,AEG,18,33.783912658691406,36.43696594238281
147,AEG,19,33.766212463378906,34.37201690673828
148,AEG,20,33.80665588378906,36.36509323120117
149,AFG,0,47.951786041259766,68.17462921142578
150,AFG,1,38.14475631713867,71.2055892944336
151,AFG,2,37.62184524536133,72.96363830566406
152,AFG,3,37.766868591308594,74.39096069335938
153,AFG,4,37.74365997314453,72.4207763671875
154,AFG,5,37.71135330200195,72.3796615600586
155,AFG,6,37.70985412597656,70.65926361083984
156,AFG,7,37.57527542114258,73.88951873779297
157,AFG,8,37.70697784423828,76.47144317626953
158,AFG,9,38.22431182861328,72.77738189697266
159,AFG,10,37.92001724243164,69.63653564453125
160,AFL,0,22.996639251708984,50.78858947753906
161,AFL,1,22.215688705444336,50.47861862182617
162,AFL,2,22.209701538085938,51.81708908081055
163,AFL,3,22.21744728088379,54.58707046508789
164,AFL,4,22.15568733215332,53.679203033447266
165,AFL,5,22.278779983520508,54.19990921020508
166,AFL,6,22.130163192749023,52.64249801635742
167,AFL,7,22.12523078918457,52.154685974121094
168,AFL,8,22.188030242919922,55.57189178466797
169,AFL,9,22.885427474975586,54.51763153076172
170,AFL,10,22.293058395385742,48.120906829833984
171,AFL,11,22.14736557006836,51.646915435791016
172,AFL,12,22.139545440673828,52.501651763916016
173,AFL,13,22.182390213012695,51.514373779296875
174,AFL,14,22.117895126342773,52.40882873535156
175,AFL,15,22.194787979125977,52.92128372192383
176,AFL,16,22.092506408691406,50.6671257019043
177,AFL,17,22.07763671875,52.344520568847656
178,AFL,18,22.086530685424805,51.2730712890625
179,AFL,19,22.141584396362305,51.99485397338867
180,AFL,20,22.112693786621094,52.60740661621094
181,AGM,0,58.71211242675781,72.92032623291016
182,AGM,1,58.49617385864258,75.16004180908203
183,AGM,2,58.547088623046875,71.28190612792969
184,AGM,3,58.57796096801758,73.31709289550781
185,AGM,4,58.66184616088867,68.71387481689453
186,AGM,5,59.25005340576172,73.70756530761719
187,AGM,6,58.400001525878906,72.51568603515625
188,AGM,7,58.436561584472656,72.0228042602539
189,AGM,8,58.43296813964844,73.81063842773438
190,AGM,9,58.36038589477539,71.38085174560547
191,AGM,10,58.53202819824219,71.51265716552734
192,AGM,11,58.41667938232422,70.61271667480469
193,AGM,12,58.410888671875,70.55736541748047
194,AGM,13,58.7674560546875,72.09703826904297
195,AGM,14,58.33244323730469,73.05526733398438
196,AIG,0,260.87213134765625,74.58817291259766
197,AIG,1,246.40972900390625,71.96912384033203
198,AIG,2,185.74105834960938,106.06228637695312
199,AIG,3,201.11172485351562,86.8577880859375
200,AIG,4,133.7322998046875,88.35796356201172
201,AIG,5,116.82830047607422,94.08366394042969
202,AIG,6,98.52690124511719,86.25857543945312
203,AIG,7,105.59908294677734,75.75100708007812
204,AIG,8,127.84263610839844,41.89979553222656
205,AIG,9,143.55349731445312,57.63370132446289
