sample_idx,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9
0,0.5092249801153323,0.9525772650924865,0.9686291963867573,0.9941615442303555,0.9789893267285082,0.9812367723552892,0.9974161883209381,0.9914384592885913,0.9841606426817019
1,0.41391942709471236,0.951421886854675,0.9468530660080123,0.9948685521717063,0.9853936802769743,0.9872880673534387,0.9852825901698755,0.9858204986972694,0.9906246365998659
2,0.058058594390265464,0.9504767470694485,0.9627147130403921,0.9922169987657619,0.9899143186325736,0.9863312656001506,0.9956467741356255,0.996492386711167,0.9924329781880333
3,0.6591748867204468,0.9499379079641045,0.9423353898105054,0.9938391025281924,0.9850366235900733,0.9935292851733548,0.9915385748249113,0.9452096240193876,0.9946934274478028
4,0.7560059346911752,0.9534092890108644,0.9671222421583834,0.9857343777482936,0.990499252255733,0.9889383865096856,0.9965031800103715,0.9904644214483421,0.9966161862622539
5,0.762550364735215,0.9541331470934217,0.9548616090241334,0.9790325619248793,0.9932690869251605,0.9913970137956711,0.9597125718525837,0.9908710812853895,0.7475177807698596
6,0.6249952476178402,0.9483806607992941,0.9736591640027615,0.990151599330124,0.9913815567517233,0.9967192876559443,0.9983363998277637,0.9655037332914045,0.9883591024497176
7,0.3003170127296501,0.9477440526519725,0.9590160951342865,0.9947374100857421,0.9888699801861894,0.9942103495516843,0.9647777532455638,0.9930316412711111,0.9994966138160815
8,0.1324533026829408,0.9484690307821051,0.969197101340062,0.994367380382545,0.9866498516583958,0.9920514020663609,0.9375287943034293,0.9711145062999951,0.9890313950847922
9,0.9079549423464207,0.9511162222092412,0.9567700492847971,0.9916396405300222,0.9669907189129962,0.9689457750129418,0.9956525990250302,0.9666910141306096,0.9756234116188853
10,0.9650503758666498,0.9516554179993444,0.9597164826084756,0.9825918214763715,0.995333290326504,0.9961199922173952,0.9918873403975398,0.981669702386749,0.9098468016364905
11,0.9223945785527599,0.9516834742560694,0.9595440645872381,0.9857010709687879,0.9939228810654358,0.9749442911853566,0.9551160038413948,0.9403739452422892,0.9933798700311394
12,0.5809392290645763,0.9532552091174823,0.9582966992218998,0.9797583385116734,0.9933976802893929,0.9974615218696118,0.9936495020886825,0.9712449260820688,0.924622670936844
13,0.12283331894962556,0.9525363816402054,0.9574067974775418,0.9800372642978603,0.9928784338030728,0.982097141634078,0.9762234867633736,0.9889517246683318,0.9988388962099952
14,0.12760129294931102,0.9492095592475559,0.9703972921935459,0.9895170006127093,0.985772754997189,0.9906923576467749,0.9975880055677822,0.9405308448377121,0.9976899721067426
15,0.5484327525229146,0.9497652766648953,0.9517845206016946,0.9894921946067591,0.9862106822308108,0.9916291483575169,0.9723192136556942,0.9388563714860688,0.9907362334869207
16,0.4479555721292758,0.9486956505320799,0.9722736426540803,0.9916194703468053,0.9920185358983045,0.9939076943959756,0.9400505279404129,0.9781783739920342,0.9989426642489585
17,0.3528072407510911,0.9504320428167935,0.9548330766040602,0.997479190331467,0.9884223329519329,0.9642660571319026,0.9776437960434575,0.8952427717560817,0.9544645879741028
18,0.2038872066699149,0.9480727017108834,0.9715374334561996,0.9932267260288135,0.9886727493625987,0.9845164262154665,0.9386362942584502,0.9169720143913278,0.9751430929744375
19,0.37551832765498466,0.9496133198120755,0.9567057400399174,0.9935929931690862,0.983889651227466,0.9648266125301376,0.9976679443499085,0.9383623438633174,0.9986364149853545
20,0.6759115881286291,0.9503461110476017,0.9685262903478967,0.9858713269273033,0.9914890911256413,0.9928864347214834,0.9940372041213954,0.9865843398269503,0.9934542484375657
21,0.9258083410636819,0.9531041413015678,0.9701914288896413,0.9851201785320919,0.9710455972859391,0.9961955181182747,0.9844606976394997,0.9620392433410752,0.9941259107085652
22,0.9448854102031456,0.9542886934846494,0.9518599824780971,0.9798028167273359,0.9950581790047324,0.9911855263618944,0.9863544551040414,0.9811358372856636,0.9886575570986232
23,0.8972118908005874,0.948238052549996,0.9423906409411507,0.9922372825274886,0.9912532053160096,0.9939217100239972,0.9877651574616915,0.9745840028965506,0.9967958681804597
24,0.5915868000586284,0.94790866361079,0.9419986918036402,0.9944767665509735,0.9885841490591266,0.9882238462960253,0.9898456823339242,0.9956152938546744,0.9947062085963064
25,0.23644077900913085,0.9497506137074204,0.9571833524755176,0.9878586746621122,0.9885718833678576,0.9869241404684612,0.9898477361615824,0.991830232473615,0.9931697980944371
26,0.29297747207637864,0.9491516493425322,0.9632821851281805,0.9877339985918496,0.9866065864534941,0.9972848953127151,0.9959464646668661,0.953641805811228,0.9692552877697242
