sample_idx,Layer_1,Layer_2,Layer_3
0,0.8426819434330135,0.9048862258867841,0.8123239364176904
1,0.8922198234094365,0.9107088799465793,0.9240463074408457
2,0.9064281535994513,0.8988465860757299,0.6290396492033786
3,0.8613700085084397,0.8991108622290932,0.8136163294270794
4,0.7662317394561493,0.9069915070339393,0.8040587264827189
5,0.8664343859295555,0.9010488807630317,0.6311349443400229
6,0.8162564883579155,0.8977404933210666,0.7716355544578903
7,0.77920064441022,0.9020509799816322,0.9395932620456265
8,0.8695034030614317,0.889499687557214,0.9531377480398975
9,0.9498583086979782,0.8902685105706253,0.6285370480725018
10,0.9610568753134513,0.9144270674232412,0.857177461265692
11,0.9387926264515725,0.8926348806815204,0.9360012869890354
12,0.7364184009075398,0.9035882047158095,0.92009555049879
13,0.4196879943135082,0.8941478288010499,0.6833094947010484
14,0.5220147404647555,0.9022493483994299,0.9197689420713565
15,0.5926220175383256,0.8913104463055166,0.619841694431239
16,0.7025782659288193,0.9023695870226801,0.9413500136724444
17,0.8972819202198757,0.8957522927433499,0.7817227684193702
18,0.8910166454496435,0.9070808118079575,0.8436058468711504
19,0.7705858544104178,0.916305280705814,0.8744876116050541
20,0.91318814824501,0.9053021114696929,0.9323798981971578
21,0.7264805947020585,0.9097531098467045,0.8578510540994315
22,0.6059806008579011,0.9170289908943255,0.842857918175861
23,0.6943966412854351,0.900001806104126,0.9339095732687762
24,0.5834648698909412,0.8975123490130446,0.629251893477796
25,0.36242100819512174,0.9204409675923919,0.657099092429747
26,0.24024187267036634,0.9153702527039892,0.8383063276304291
27,0.17559440617937994,0.9097820704728226,0.914089371804268
28,0.508272735743242,0.9002110507567718,0.6318559128241912
29,0.46834687693224514,0.902680923092028,0.6426270791441636
30,0.2371448120510454,0.9052990696987663,0.8680584115148038
31,0.20663694138670502,0.9151077755586088,0.7568975311573011
32,0.5537030878316935,0.9030180022826646,0.9316785994870309
33,0.8157762021080522,0.9138141024427484,0.6144121074793621
34,0.8669341375841174,0.9145152942585497,0.80726335247302
35,0.7052814522914359,0.9143215719208075,0.7571970601919157
36,0.4807594333347721,0.8987265206795622,0.649291525453932
37,0.23496588074537608,0.9062910369140845,0.8141622718183352
38,0.47358051537183654,0.9024232364136014,0.9150544148725436
39,0.8952232795282542,0.905408376930293,0.9117547582076357
40,0.8895578919902881,0.8983852458957529,0.6322462773027396
41,0.6891293881199606,0.9082971466415477,0.8829209587629658
42,0.7251624707730302,0.8924016819215398,0.6367898429540391
43,0.3053708421807459,0.9017063299294866,0.6352919531896435
44,0.25187565384192445,0.9106271040436661,0.6896168371099451
45,0.5494767988699375,0.9168748954090188,0.5579598367854077
46,0.7911774383926987,0.9154733072416082,0.6079151696321283
47,0.9511856669518041,0.9077481058223004,0.8220103439402631
48,0.9288214336455083,0.9173386211748562,0.6079470190773719
49,0.6672036675641853,0.8922775810744386,0.6845426009757607
50,0.2688228725080204,0.8957888402197262,0.9317048905471492
51,0.0675929918602031,0.8963757948234968,0.6275952012204318
52,0.373670684269012,0.9097021224767402,0.8859337324275104
53,0.7045085186483755,0.8914109721970837,0.6282208430343015
54,0.7464751222974033,0.9031207008868267,0.9344462336480592
55,0.8054945534968027,0.9036434976687937,0.7337997431228389
56,0.1769540454104928,0.9079117860447034,0.8891649387988174
57,0.2310848708144854,0.8997876274655987,0.6509738200193393
58,0.6902375468243627,0.9180846862081536,0.6122574505488534
59,0.867914493430904,0.9136279752349373,0.6573649304138328
