sample_idx,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7
0,0.8493494780492385,0.890751253856154,0.9487941299645495,0.9822942588236077,0.9850187432360265,0.9858467136278984,0.9950464626981492
1,0.6638015949804003,0.9014316738483307,0.9588933883995526,0.9856801417348141,0.9914568656999801,0.9887662857510928,0.9844564495280147
2,0.28377987907875096,0.8985791885272096,0.9536521196745563,0.9830048882376067,0.9917360683034727,0.9926905760276757,0.9847640932029362
3,0.37245062381785454,0.9070223214738404,0.9646225144092584,0.984929728943835,0.9965157120933092,0.9830347987195746,0.9981146684189981
4,0.6380140217167445,0.9010424733009373,0.9579372487868235,0.9816454361204374,0.9940283665237449,0.9899345595960609,0.9936496352413965
5,0.8549103378066297,0.9036505196307059,0.9572980847487842,0.9814365498744156,0.9951954816442757,0.9964949711160656,0.9929220196124798
6,0.9249360616497102,0.907617050623858,0.9760176785502953,0.9811491088282052,0.9966041211009988,0.9788865061299601,0.9977304282552185
7,0.6542531959732378,0.900916059683763,0.9587867087579764,0.982238229110728,0.9897795936612471,0.982164822216844,0.9947185309334482
8,0.7432522874625606,0.8903773957158796,0.9500665692910936,0.9807146745153626,0.9869453511994667,0.9895917432083691,0.9969635558048583
9,0.5164524764012384,0.9000851668404909,0.9541461097003036,0.9831970663499731,0.9948721991650481,0.9883620862572943,0.9838726318585789
10,0.1374269986450756,0.888224347264061,0.9470551796641874,0.9802105705767826,0.9839578428159574,0.9893256147565054,0.9950228062181407
11,0.10402767388520627,0.8866338416352229,0.9474747435351698,0.9811633828804426,0.9862475555838023,0.9900320907592743,0.9939918706475266
12,0.21271569711130103,0.8931364912833846,0.9463157527090678,0.9814431211238691,0.9910855976858846,0.9917149570230213,0.9881996140088113
13,0.40209778170015004,0.8940084023558492,0.9444091072377456,0.9799942928464231,0.9857173006169989,0.9900480038272653,0.9846249205675442
14,0.4146928933826074,0.8917739866918385,0.9459725156178479,0.9806280131780711,0.9860244916577938,0.9908231456112156,0.9905931737687391
15,0.7156575174808939,0.8999754956651446,0.9517116775674987,0.9828977862258977,0.9938697818740302,0.9876556200559778,0.9868605970262974
16,0.4650582428304054,0.8915376687268648,0.945986163791092,0.9796336003260843,0.9894295236088954,0.9913680105094171,0.9941063866596151
17,0.16237271624249744,0.8914348170554929,0.947137073970718,0.9809071089143568,0.9912423283079407,0.9916843235496468,0.9937193265238524
18,0.0860583691671411,0.8904424022715586,0.9448986930412947,0.9803020500799774,0.9888209255523659,0.9909809286251592,0.9874215702634294
19,0.44490551958736946,0.8915015239730408,0.9452699444230628,0.980362754758972,0.9901739069699762,0.99197008970857,0.9889388605301467
20,0.6519091704659028,0.8946665442106301,0.9467512629710106,0.9814375064598873,0.9928869973449066,0.9907272688403534,0.9884911344591334
21,0.6151851033929224,0.8959481546720215,0.9469729496099611,0.9804627260036602,0.9928252823661884,0.9904811899166214,0.9939856676453271
22,0.397714384807823,0.8936820181736829,0.945596871030251,0.9795652843841048,0.9919580396453038,0.9911463863597076,0.9929696897083891
23,0.12051506865421585,0.8939818404109457,0.9439768114092779,0.9794907312654706,0.9919547592765713,0.9922288100590579,0.9936103459014637
24,0.1401192056147749,0.897404840086787,0.9472926070510294,0.981509526062741,0.9931010942692511,0.9893380376426671,0.9855416143061556
25,0.06503269413694979,0.8942528439051664,0.9466034803934021,0.9801269415851556,0.9924399629990677,0.9915056404285201,0.9947529108562846
26,0.1224858009551924,0.8960603924159081,0.946514131842984,0.9808354804726399,0.993780755532683,0.9895032542509831,0.99219112112418
27,0.4354691756226037,0.8963880488500733,0.9455888221118735,0.9801608419826153,0.9936528145242954,0.9899445564391466,0.9937308015800946
28,0.2491750129931835,0.8983119917442072,0.947836832285186,0.9806857597988867,0.993529905345464,0.9874898945109059,0.9940690473541612
29,0.5926438352452342,0.89706006731033,0.9464021225967797,0.979864230232165,0.9938867605878544,0.9882051670366399,0.994177023512338
30,0.4933296484062245,0.8976874615679612,0.9466781649087,0.9804349644705236,0.9937510424119361,0.9877574972760266,0.9916279494099657
