sample_idx,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7
0,0.6406865010769044,0.6354363525378554,0.9490635787123199,0.9993017194980917,0.998603410847544,0.9995332432483011,0.26883864247840517
1,0.6944908749400125,0.6379302007904938,0.9495920192597206,0.9993294386805396,0.9987203628374133,0.9995203790154622,0.26549670136838355
2,0.7498180954813923,0.6424769214221332,0.9479945648771441,0.9993542111436619,0.9987852949442355,0.9995141416541907,0.2634752061600097
3,0.28294143610021527,0.6583160424905653,0.9483727113831398,0.9992647217268954,0.9988384538227902,0.9995208241026514,0.26108597388578436
4,0.31315727427378426,0.6851170659342072,0.9514043236380327,0.9991745134595592,0.9988406713183046,0.999528955233375,0.25962960740903884
5,0.6209574703993505,0.6970973606805599,0.9489261884098309,0.9993166093592544,0.9988027278572182,0.9995213107118079,0.266024351005332
6,0.7474398985883633,0.6796500377691547,0.9493157043549761,0.9992229260275961,0.998868523556428,0.999510237692593,0.2629402814346402
7,0.8431127175495796,0.6531010218042793,0.9462489837517559,0.9992760615312484,0.9988350718362222,0.999510869855897,0.26617843500370914
8,0.5914099778091791,0.6415362435122766,0.9429525778142398,0.9993347836065035,0.9986719066808962,0.9995209880410634,0.2706267530433372
9,0.6577577082672319,0.629053280123187,0.9360226926583758,0.9993301478954709,0.9985763305616645,0.999527071401364,0.27724743607744406
10,0.5258342879032005,0.6401746346706462,0.9404318333976295,0.9993801205483923,0.9986504297788216,0.9995212433689267,0.2712431194178456
11,0.4733850586340635,0.6371374307729425,0.9427690198288753,0.9993557628121194,0.9986375468969372,0.9995278150100336,0.27048196360341303
12,0.2646845949164053,0.6514970790242094,0.9471418937912718,0.9993089899062197,0.9986093732526885,0.9995356781461159,0.2703529962680025
13,0.11442028298373533,0.6459080899882929,0.9477864695754328,0.9993166288671673,0.998667765616184,0.9995331978626975,0.26913220556084166
14,0.14136371697821437,0.6572060699204468,0.9469365936682895,0.9993428511592677,0.9987016535328017,0.999514941316373,0.2689903139635903
15,0.2727923395824378,0.6564706225572614,0.9485886004019392,0.9992900340107554,0.9988281051769157,0.9995158034929253,0.26396822365465555
16,0.6821502383271851,0.6643966047617976,0.9459524505463948,0.9993479344331638,0.998763260393288,0.99950938658245,0.267774911802914
17,0.4581004298317419,0.6620814198706448,0.9465012078091976,0.9993429666100954,0.998717305465049,0.9995198440248478,0.2685349960886287
18,0.6499185728584412,0.6542538750727912,0.9446300641151609,0.9993269867927709,0.9986900833451651,0.999523002646864,0.2713630126960322
19,0.2731346039071597,0.641729599234306,0.9432812752857369,0.9993616063931238,0.9987087977688323,0.9995232126447429,0.2700675356007336
20,0.4523711485184277,0.6400216837243685,0.9406787030083519,0.9993561489361308,0.9986299402310568,0.9995235504731196,0.2739732617881563
21,0.5751276918544673,0.63563113897199,0.9441028468233141,0.9993494059664292,0.9986474660455013,0.9995269179324937,0.2699922175778317
22,0.8054846264094859,0.6282719524349019,0.9409026862482328,0.9993357520009488,0.998603934417781,0.9995314104190263,0.27317448806465605
23,0.7151858818374796,0.6357937791677816,0.9429762787965142,0.999370228758075,0.9986428541670821,0.999523881897813,0.27006351626883884
24,0.5921955954989604,0.6526834128327125,0.9459499455930074,0.9993346933847954,0.9986151234663085,0.9995247001935624,0.2698391081227781
25,0.1612750302026536,0.6616868286068636,0.9503839413824632,0.9993141420750546,0.998718248248873,0.9995236579127672,0.26602727390926884
26,0.23588596270500103,0.6645621749354094,0.9485410997689887,0.9993318882715497,0.9987260435108705,0.9995261091107849,0.2680221597182864
