sample_idx,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9
0,0.3862947686746438,0.9763559451959478,0.8634418685283121,0.988992141264797,0.9895277628893329,0.9998868316747561,0.9996372706440538,0.9986949828380693,0.25933922196846576
1,0.41784246767565725,0.9764635378301183,0.8634369729394088,0.9888764704318777,0.9894572633287801,0.9998846543867982,0.9996387930332101,0.9987007852298359,0.25949421216730634
2,0.5032678994180447,0.976881332919092,0.8638677854227946,0.9888754028252789,0.9894732260674544,0.9998855564316736,0.9996388122083707,0.9987207216455343,0.26046930181146605
3,0.5678591584613648,0.976922433326208,0.8631834518898457,0.9888979469211886,0.9895267240401626,0.9998836475711191,0.9996340226299678,0.9986795494775923,0.25893719360165474
4,0.31755496519893966,0.9764008463622318,0.8629729926867722,0.9890160199076075,0.9895643964110765,0.9998847717379278,0.999637654486679,0.9987018758335102,0.25976167705569436
5,0.27063955988255683,0.9754971292606289,0.8627715163126928,0.9890681155003126,0.989561259304077,0.9998859902830031,0.9996379893825728,0.9987141393235774,0.26037325203911216
6,0.704854672364458,0.9746320740595168,0.8616887347081589,0.98891972402129,0.9894253862531504,0.9998851256621866,0.9996388958072139,0.9987420925554757,0.26141522034302267
7,0.9271789749148005,0.9740414308625727,0.8608508110820595,0.9885407702645101,0.989223533297393,0.9998796970120094,0.9996388388702917,0.9987640076580355,0.2625376277769351
8,0.9218185131707323,0.9744671784820419,0.8607129922089285,0.9884171118714478,0.9891595828077908,0.9998785662101956,0.9996369470268313,0.9987516162152368,0.2619722424720496
9,0.8584756024838005,0.9749110802901216,0.8615195758090877,0.9884920169362024,0.9892640446405974,0.9998767139759732,0.9996346212492715,0.9986938886982955,0.25925716211274163
10,0.8682491330758075,0.9751785567494949,0.8619047549290462,0.9886637798387115,0.9893465920975313,0.9998797675334871,0.9996358765213167,0.9986535589932239,0.2573249199966484
11,0.8419891767557975,0.9749627923344615,0.8613553520153208,0.988743186284468,0.9893848244105455,0.9998814966191263,0.9996344684174646,0.9986118372063966,0.2554306635208587
12,0.8554375216104194,0.9746345368872185,0.8610027194671717,0.9887216810299707,0.9893434685656102,0.9998805190769764,0.9996350486451404,0.9985868023023904,0.2543796010064181
13,0.9298090626223058,0.9747487477355012,0.8609571017921624,0.9886029326481927,0.9892614709655962,0.9998811695621136,0.9996373282170945,0.9986126621282881,0.25507158495055776
14,0.9495631914859984,0.9751929263500393,0.8610443918892275,0.9885640805186872,0.9892597138734615,0.9998804124357655,0.9996360123487769,0.9985840105893903,0.25388262246399657
15,0.7666298564122912,0.9755120980173083,0.8617681671760659,0.9887206865049358,0.9893797542564714,0.9998802623828055,0.9996322101073755,0.9984929902494205,0.2510233175056284
16,0.7985925356139996,0.9755744719175863,0.8614051778750255,0.9887701753499635,0.9894124885084178,0.9998803941594654,0.9996325013016787,0.9984562592121039,0.24977061627656882
17,0.8870441892972633,0.9757408596988213,0.862753728346879,0.9890016822946945,0.9894838116391034,0.9998880932638471,0.9996368749802078,0.998478065197168,0.2500130202159618
18,0.8438599917044369,0.975745338913994,0.8633014438502882,0.9891238001585605,0.989558285213297,0.999890083660584,0.9996350559631111,0.9984230392145891,0.248569665966858
19,0.8326875977270374,0.975335694934158,0.8628582261250954,0.9888833245870305,0.9894322273933047,0.9998867714844423,0.9996349038400426,0.9984226769293935,0.24860328547508578
