sample_idx,Layer_1,Layer_2,Layer_3
0,0.9212387005987969,0.9137696263317893,0.8334017886557196
1,0.7425262704551119,0.9147564484792066,0.834671232946674
2,0.7419938676717646,0.9152993195016925,0.8341756211050383
3,0.7804296907785209,0.9160097999698759,0.8329122100236781
4,0.7423275654492526,0.9161784367457173,0.833337760697132
5,0.757098454313325,0.9159218507779148,0.8331792406277551
6,0.8496997136142505,0.9181394807976542,0.8353821725877117
7,0.8761987219285727,0.9172650367868171,0.8335633718456414
8,0.9226348428344393,0.9166718044261994,0.8331652442727971
9,0.49442881342092543,0.9165489023760197,0.8339634712705821
10,0.14935599886212492,0.9166684951385735,0.8335141986981497
11,0.03203039402634933,0.9165243694374581,0.8336275562854965
12,0.12582062393586865,0.917322900185147,0.8337263195160799
13,0.09697025317551847,0.9164336095051158,0.8327979592506349
14,0.2480244993440821,0.9178209595920799,0.8343493482333836
15,0.41644966273244394,0.9168398810206942,0.8341220724959725
16,0.21046432107582846,0.9167171180417868,0.8338232793172967
17,0.725933883530494,0.9157844280505045,0.8336540984285599
18,0.9076145966319698,0.9154182856915342,0.8340375411631518
19,0.9814026840819877,0.9150773085981239,0.8336007014787578
20,0.9877690038519349,0.9139971555204325,0.8333260128781401
21,0.7319534725818484,0.9158499335052366,0.8339888652475433
22,0.23580371273931883,0.9145121194946247,0.8334376010364134
23,0.030085405539760794,0.9156646968487444,0.8332064370426787
24,0.18485187359936117,0.9146736630604319,0.8335180493465735
25,0.5186589328512168,0.9164911013244108,0.8344619352347112
26,0.5231614569382935,0.9150386869130389,0.833116538702352
27,0.31656213516755194,0.9152496601452457,0.8330646078337164
28,0.24703961613458505,0.9148298028764212,0.8332744712393492
29,0.12298196727670026,0.9159961433273296,0.8345459458800746
30,0.5179020767976218,0.9142852800499701,0.8327369825980278
31,0.867140982314909,0.9134808724908077,0.8333078148527895
32,0.8018904977878865,0.9141763708627232,0.8334881291399878
33,0.5488732930381023,0.9140370293391138,0.8329819997655133
34,0.2610888606143424,0.9148592892240274,0.8339977516200218
35,0.4013828433278482,0.9149771705959683,0.8340107331079256
36,0.8625308066657038,0.9147129574390408,0.8342492627540314
37,0.42763603210362733,0.9147771761854664,0.8341937669697311
38,0.1871484047810586,0.9140556347759285,0.8332328861408141
39,0.6541783261723463,0.9129455355851332,0.833323843278399
40,0.8901379307787114,0.9126903738416531,0.833494117600885
41,0.9643676850744579,0.9112662446736176,0.8334421589455089
42,0.9723957241686955,0.9105454932865971,0.8329399302438394
43,0.7762471711152515,0.9115963596237767,0.8340938375565915
44,0.38666255647772957,0.9095729023510597,0.8326729000009544
