sample_idx,Layer_1,Layer_2,Layer_3
0,0.13433876166612813,0.905961581159836,0.9258528411746102
1,0.38483495318784716,0.9080410038018238,0.9135584374996184
2,0.4539134153153432,0.9150720561756779,0.5957241121140191
3,0.15064312632791413,0.9203511969042365,0.5683050312726707
4,0.7579198121047859,0.9200323360309004,0.5978742874092458
5,0.9546187692753888,0.9201568802109865,0.5923238218813658
6,0.5143558684918944,0.9180294369053326,0.5503406200179218
7,0.08080482185876962,0.9078330055535658,0.9260014091308901
8,0.2902952140425752,0.9086880623819262,0.920872199567126
9,0.6550958638619659,0.9145592038443271,0.7742983060846843
10,0.7296578124929005,0.9095935531779057,0.9219718136340713
11,0.7466736486178246,0.9041341421686633,0.91877027455292
12,0.7752774098563386,0.9076898205447558,0.9228530279741362
13,0.8776977033491407,0.9116493233001108,0.8918369763239375
14,0.8708000700629347,0.9136397320957453,0.9213238899075751
15,0.7065843230626984,0.9147401664316988,0.9264200131066593
16,0.6945392021671297,0.915326103771799,0.5848663132240369
17,0.763014172293891,0.9126962803264461,0.9318507483493758
18,0.800903626687672,0.9129646355679129,0.9268769085377844
19,0.8799796090465309,0.9132304660669156,0.922505891289927
20,0.8978293034486258,0.9120030792984527,0.9203116885004308
21,0.9387988505654663,0.9097381764477052,0.922490101516484
22,0.6332551999753026,0.9167853394796432,0.5939549812688608
23,0.18578011181267667,0.9195246546396629,0.5650465076234016
24,0.3941968409165592,0.9223310379703475,0.5860012846652699
25,0.641357269549527,0.9254140354796447,0.6007148983765377
26,0.864529574723958,0.9254363102907892,0.6480518407901709
27,0.9317593575691256,0.9275496733228801,0.6027407591504844
28,0.9450852158079719,0.9248012904405752,0.603865183381063
29,0.8946218456460582,0.9189660581060295,0.604607679591862
30,0.7718784636035951,0.9168599387140692,0.5984496151873462
31,0.9645738744435637,0.9157146069128448,0.5926361271447029
32,0.8183710899306144,0.9173034372475544,0.5985533997175938
33,0.8306804164948183,0.9206157175748572,0.5975790401666468
34,0.8276769628761244,0.9184109718113006,0.601746008835358
35,0.42755488288799676,0.915690071330274,0.5551803573582351
36,0.1695420581615362,0.9083157934424667,0.9046375573026084
