sample_idx,Layer_1,Layer_2,Layer_3
0,0.5749199345318529,0.9491772923719908,0.8097211465424311
1,0.36628386312993677,0.9489365828468276,0.8093918107665755
2,-0.05400730287857272,0.9492928691540201,0.8097836126647171
3,-0.05400730287857272,0.9492928691540201,0.8097836126647171
4,-0.05400730287857272,0.9492928691540201,0.8097836126647171
5,-0.05400730287857272,0.9492928691540201,0.8097836126647171
6,-0.05400730287857272,0.9492928691540201,0.8097836126647171
7,-0.05400730287857272,0.9492928691540201,0.8097836126647171
8,0.4304481313437055,0.9503514678235414,0.809535001841565
9,0.677451405985567,0.951217195046383,0.8094244611570341
10,0.7694543711648179,0.9516423859894722,0.8090638373666086
11,0.7300944302170664,0.9513775308896215,0.8090382173761276
12,0.5726868153909993,0.9516174884088727,0.8091823216528803
13,0.36306024989874613,0.9506000464073098,0.807824532452593
14,-0.0368210531517621,0.9516175627564682,0.8094637904685327
15,-0.0368210531517621,0.9516175627564682,0.8094637904685327
16,-0.0368210531517621,0.9516175627564682,0.8094637904685327
17,-0.0368210531517621,0.9516175627564682,0.8094637904685327
18,-0.0368210531517621,0.9516175627564682,0.8094637904685327
19,0.42231932268285155,0.9510406485908799,0.8095956022904885
20,0.6692839384101786,0.9505596711231171,0.809670656729205
21,0.7663165895065772,0.9503054900513347,0.8098035729263134
22,0.7329903944003259,0.9504633298647559,0.8098739786920491
23,0.5772656246774539,0.9506569166466462,0.8099258016237091
24,0.3696459133481715,0.9512589175888964,0.8105944114086143
25,0.4259940471386689,0.9507557803578751,0.809643271910782
26,0.6909896876720891,0.9510418642392995,0.8095125231136966
27,0.8099734888926466,0.9511920971936763,0.8095006398916498
28,0.7984219032913916,0.9512101280629798,0.8094209002937622
29,0.6686468764620972,0.951185994349353,0.8094671343361928
30,0.48619990934285245,0.9509605343818006,0.8092347247407751
31,0.3668857096620425,0.9511289272107873,0.8093078382076336
32,-0.03682265002303258,0.951212678601091,0.8095677405746188
33,-0.03682265002303258,0.951212678601091,0.8095677405746188
34,-0.03682265002303258,0.951212678601091,0.8095677405746188
35,-0.03682265002303258,0.951212678601091,0.8095677405746188
36,-0.03682265002303258,0.951212678601091,0.8095677405746188
37,-0.03682265002303258,0.951212678601091,0.8095677405746188
38,-0.03682265002303258,0.951212678601091,0.8095677405746188
39,-0.03682265002303258,0.951212678601091,0.8095677405746188
40,-0.03682265002303258,0.951212678601091,0.8095677405746188
41,-0.03682265002303258,0.951212678601091,0.8095677405746188
42,-0.03682265002303258,0.951212678601091,0.8095677405746188
43,-0.03682265002303258,0.951212678601091,0.8095677405746188
44,-0.03682265002303258,0.951212678601091,0.8095677405746188
45,-0.03682265002303258,0.951212678601091,0.8095677405746188
