sample_idx,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5
0,0.19196356118312854,0.9659574693448452,0.9058457532405804,0.9571629518700738,0.963968157923159
1,0.682576584448419,0.8928693046175945,0.9738332622140026,0.9744046147027017,0.9702790962752004
2,0.4814629482362678,0.9708906933575757,0.9484282524474766,0.8856599494250358,0.9932132539180205
3,0.48232094723366004,0.9688668824070364,0.9629667973570689,0.8928669603472945,0.9676162482713879
4,0.3142369749086927,0.9622317905863508,0.9249110089094796,0.8787257097360288,0.8057979571389109
5,0.5163151745720425,0.9510404638564757,0.9312044641263152,0.890774627791756,0.9130531158434063
6,0.8448810451651627,0.9046217153771189,0.9546719144538521,0.9554921124060051,0.8178544137519966
7,0.6711763339393565,0.9629500094514796,0.9473740014932511,0.9476157639275649,0.8894422847368981
8,0.47188518931652673,0.9658696088157454,0.9293874294568244,0.9369386858938797,0.9220236533981685
9,0.43545995554106215,0.9425783712385363,0.9508010731428665,0.9148741751369405,0.977477456953542
10,0.5811275129655532,0.9666703518746906,0.9448213287828214,0.9115139637065096,0.9298526912719793
11,0.7039108229032631,0.9549303014424573,0.8953973855485052,0.9548665307528417,0.7765227224600161
12,0.7066095203577568,0.9348570166040443,0.9505505899555022,0.9131948199740992,0.79060033535141
13,0.5661844444062781,0.956348738526125,0.9780363740128443,0.9823992866561584,0.9208620084714261
14,0.511703724715112,0.9641048311990897,0.9536998016152005,0.9172042825968139,0.9658807167338587
15,0.3895589496677464,0.9644594854052265,0.9520395373963252,0.8824132537281837,0.9167555138862858
16,0.5548415325333678,0.9452932467704307,0.9506816999124371,0.9134359722479056,0.9100176731835855
17,0.651683462541865,0.9285885793894503,0.9708305789178359,0.989077339399469,0.8147261653187856
18,0.6249312272786693,0.9351286809017583,0.9564799180649748,0.9028114835382708,0.8885860655186988
19,0.7345855338600396,0.9374225646984482,0.9667366764434785,0.9729892107384543,0.8558048521633442
20,0.7974943315243275,0.9359524173127298,0.9772543773581593,0.9774257069710072,0.854515209414338
21,0.579379740536816,0.9657548022914754,0.9495190194240016,0.9195889759522616,0.8290283932872968
22,0.7829080379472468,0.9348015327434412,0.9689370921150514,0.8862899475109077,0.8345852038379658
23,0.7335022214798738,0.9548756579285395,0.9429888183946883,0.9409410231947084,0.9485700372644462
24,0.6174019619303628,0.966658602015844,0.9465607156426827,0.8906239099456803,0.9223636035926264
25,0.1816668987377917,0.9176715828054778,0.9596340873073336,0.9417323254313392,0.9131084278577988
26,0.32203537898111284,0.927386686362235,0.9770267615226308,0.9428825644396153,0.8519502376018444
27,0.31153028311088005,0.9502297475596231,0.9567675472786238,0.9255347144390039,0.8793711898222936
28,0.3589083655368195,0.9347744681637445,0.9548097102155215,0.9301539975182649,0.8648885058492333
29,0.3261715196444303,0.8415729343545892,0.9682866711102738,0.9314876983662834,0.8747275447029368
30,0.06993006066093922,0.8889730532260608,0.979556920052708,0.9310040947828235,0.9452222832674824
31,0.582258396824727,0.9494549989926571,0.9463226158509505,0.8988098952855772,0.8521839949928631
32,0.5444008761636607,0.94429496522587,0.9877788356179088,0.9749130159247823,0.9512849413265848
33,0.34126115249741307,0.9296156814689626,0.9577386650404813,0.9597708802003979,0.8834607673652526
34,0.16395024715553944,0.9457329332113834,0.9527230922005546,0.9274122471334988,0.9322384887997452
35,0.21399207011422355,0.933229800916059,0.9508956910487719,0.9603977062520351,0.8180585023287862
36,0.4125537440744422,0.9037765051558345,0.9109291400268108,0.9391558365377667,0.8012119713191248
37,0.26725575137455554,0.9199023695979895,0.9584951350115738,0.9538423921105091,0.9758029785536216
38,0.40736852630972326,0.9168038091201929,0.9647919144111581,0.9265431856264462,0.9022140764236387
39,0.7172425394492044,0.9546526949357601,0.9806037161168315,0.8669378663280539,0.8503770361267361
40,0.820327835048648,0.8925759223551807,0.9507413956201775,0.9354501410098321,0.8044813709246758
41,0.87625294438283,0.9524331028494039,0.9424832182154466,0.9173979250001205,0.9249285986919248
42,0.34625547871562556,0.9579615028521247,0.9805499554157446,0.907278117860844,0.8729906201576705
43,0.21731666360078025,0.9495024640791944,0.9796805875312464,0.9890554654757234,0.9137781490440767
44,0.40021341926966003,0.9181051572679219,0.966618397690003,0.9183845343897208,0.8149920721210759
45,0.5898325467042649,0.9495574145847784,0.8675022642276079,0.9353353515351972,0.8206321672159371
46,0.6981752117163869,0.8809632426177242,0.9884987364500538,0.9430746934271084,0.9290665284424235
47,0.6237155499309952,0.8949053541140619,0.9622700722669535,0.9315513126408853,0.9351479437564348
48,0.7261680542643781,0.96874971079965,0.951865988528648,0.8745925918269152,0.9834975351249201
49,0.47081170404499445,0.8508091631816614,0.9759469982213991,0.9863429899662581,0.9325283267473706
50,0.3718964608038779,0.9048937030792904,0.9748319724713301,0.9164338514703259,0.8347856514160257
51,0.25240140418132206,0.9693677785040842,0.9456393402800635,0.9205437524979859,0.8506853770447782
52,0.09453040581991777,0.9087536266038436,0.9835601950711602,0.9020401763710532,0.854840500873513
53,0.406850833437513,0.9506963309778819,0.9350775221848623,0.8974641619299805,0.9508420747014431
