sample_idx,Layer_1,Layer_2,Layer_3
0,0.44459316989734937,0.9171346301965819,0.573155706632938
1,0.35048624274117285,0.9205758646836111,0.5899825973706551
2,0.47549900030928266,0.9234554015637371,0.5904143141175844
3,0.573892780887751,0.9238401517455219,0.5907269968207908
4,0.43652013130407386,0.9211935538596263,0.5612881094680847
5,0.23165179725947066,0.9152596647524611,0.8058429230092848
6,0.6004653595045537,0.9112743377500977,0.8785843881427956
7,0.8931002681439335,0.9103345033141262,0.8352552330645999
8,0.9557874388979409,0.9159086918904781,0.7918886332598932
9,0.9302241058012496,0.91798462063862,0.7946435875419408
10,0.8429947470894873,0.9200122040891168,0.6584281713198162
11,0.7904692354059276,0.9150361840602309,0.7296674592132207
12,0.8090726012929701,0.9142788434127401,0.8348027187657268
13,0.9383235104844262,0.9159135432997887,0.7969734825419148
14,0.9674745981328088,0.9222786790046525,0.6737010881810942
15,0.8538821311870516,0.9228266693669506,0.6003179161368443
16,0.8490846487651864,0.9239784051518697,0.5674987671411684
17,0.8615132257348924,0.9204207263554397,0.560514390016691
18,0.8389558838504014,0.92221520377859,0.566980309920189
19,0.8145360424628553,0.9195952380141338,0.7021293200086961
20,0.8372017663615665,0.9202812263607628,0.6083897593306667
21,0.9376914313298281,0.9222328625535587,0.6372348844302804
22,0.9018298199508555,0.9214341234568703,0.6772513130041959
23,0.8982866756690285,0.9223471282503706,0.6708013065732868
24,0.9100244681399756,0.9203994518330895,0.6319819160425595
25,0.37380833916051587,0.9235412210022309,0.5476386282253521
26,0.07598958145682104,0.9262607629822904,0.5787282239048644
27,0.23211024498567742,0.9282573952229266,0.5771713846035913
28,0.6911497334522321,0.9269679189065626,0.5807335395637444
29,0.7457407210734908,0.9229680763092568,0.582135268241042
30,0.25673279034254953,0.923364596531388,0.5757304397545867
31,0.40979376708886656,0.9254777756966683,0.5786020871398732
32,0.5914935831663107,0.9226832610943114,0.5885066897150848
33,0.6054831654337164,0.9234979646913926,0.5692581856276216
34,0.5792299819397275,0.9246927722882898,0.5738780313966115
35,0.4032220039859428,0.9261621223488902,0.5691695954411133
36,0.20987986568343173,0.9231105084415273,0.5728604512159082
37,0.1702269334581066,0.9234343375554916,0.5678022252679878
38,0.4625742010122216,0.922521913474141,0.5702850354450629
39,0.7018555682984882,0.9242128840875998,0.5672376210618926
40,0.8041234122913374,0.924677458629111,0.5739390588399198
41,0.7462721661952478,0.9228231133563088,0.5952420439069437
42,0.5347707022837022,0.9194719187805519,0.5790684003591926
43,0.3168742871713863,0.9245074437633293,0.5714768069394432
44,0.13765825279856234,0.9255291855324551,0.5786656894008941
45,0.5632979841631969,0.9300796970219283,0.582563098920267
46,0.8498090334868453,0.9258327941255372,0.5973419848736774
47,0.947749280995987,0.930230008311409,0.5923817779958784
48,0.9165939659413874,0.9268231635144862,0.5906565876647674
49,0.9409038946094168,0.9295597713449294,0.5965412677092111
50,0.8469536259365477,0.9244448480891974,0.5886076888231273
51,0.6811382128438099,0.9260148788512366,0.5815926998850857
52,0.2151538407830453,0.9202059766999489,0.5852861971706036
53,0.22972738999633083,0.922368469735026,0.5602120221748726
54,0.8885947187410302,0.9197090723930056,0.6576074353628888
55,0.8587013817146015,0.9199865889448141,0.5548423046927227
56,0.10085304152102852,0.9238542142785158,0.5746034418242446
57,0.22562201041081437,0.9276606155519358,0.5833456117905504
58,0.6318332579553725,0.9268721043948146,0.5913076166847543
59,0.8949947166988904,0.926234266134891,0.5944196419504488
60,0.8409958012023019,0.9260802601016566,0.5922293212879854
61,0.5297259479698797,0.9239723236463478,0.5743771932620558
62,0.28439501030997283,0.926334673283706,0.6676602847358925
63,0.25312294145921815,0.9025665646329716,0.6572790118996183
64,0.24048262493689893,0.9176239307194236,0.7876405429967899
65,0.1334753998008498,0.9219517741046257,0.551248259347879
66,0.0945029577244849,0.9185838519565218,0.5660624929522812
67,0.3326193274202,0.9266197634707326,0.5743480898753851
68,0.7092241921431072,0.9272040810777615,0.5722676907061173
69,0.9436305814249565,0.9249055172433978,0.5923383647737066
70,0.8865503628195338,0.9258975829173761,0.5998255547651445
71,0.9165204482316734,0.9267337329901343,0.6099720576987021
72,0.9014965412054653,0.9271898649627885,0.5909813877553063
73,0.8749057968512953,0.9212860078230193,0.5868960449429305
74,0.8026203812967688,0.9206829562234411,0.5793803975744424
75,0.7426992793091499,0.9235253881177633,0.5857209521626847
76,0.7169682894982751,0.924425972947128,0.5879371657420756
77,0.8645857668371649,0.9211070484508604,0.5846530965277099
78,0.9144852354568005,0.9210619699568745,0.5818686665922976
79,0.89757933276707,0.9232515635531064,0.5904800630609204
80,0.9236856529788449,0.9234683138901068,0.5899230894381975
81,0.8209639007063199,0.9209917697159422,0.5863178432091709
82,0.7514236883305259,0.9185274176089205,0.5867644045530176
83,0.6402215951632627,0.9210502601199436,0.5597721323857925
84,0.5817764525350523,0.9220059566241574,0.5658288391565003
85,0.6883282297399573,0.9227835196587736,0.5815475160665923
86,0.7611928635514889,0.9181048531416385,0.5522260323536662
87,0.720363568475867,0.9155175420815967,0.5877795004607558
88,0.666918608212701,0.9188570993943977,0.570306734598952
89,0.3306153018046802,0.9219973044250631,0.5473087406487653
90,0.10331503837940016,0.9192722207764005,0.5617179968056972
91,0.329614475368581,0.9169586024614375,0.7202822194520176
92,0.5505609002514903,0.9192612217194573,0.559915786609902
93,0.5753292456030595,0.9207409105892054,0.5896538294935707
94,0.6949993584899641,0.9240522573866468,0.5990604508782664
95,0.900595929006147,0.9259828493121061,0.603634332761569
96,0.9590031184641916,0.9249823573757143,0.6111176806145293
97,0.9593577200605067,0.9250235894247568,0.615406606244165
98,0.947707280178569,0.9187383263968932,0.6280056709239877
99,0.9137085811078282,0.9190901471046244,0.5938232737078484
100,0.8599014510551563,0.9185738604172848,0.580742305295349
101,0.7772128836974986,0.9164315963022618,0.5987556540041985
102,0.649544793415197,0.9190170160661224,0.5456050358179391
103,0.14241756499205388,0.9110909660430875,0.9283758241637818
104,0.08674140635609495,0.9074004958988404,0.9278383914380621
105,0.1104738619164744,0.9117998924513214,0.9092494339812885
106,0.22321603970171788,0.9167527029493521,0.5698611362872542
