sample_idx,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7
0,0.6388378389913004,0.8460677391674,0.5999969043967333,0.9994851651840378,0.999085126167859,0.9995945091259637,0.23922684563390964
1,0.4865483506556543,0.8593383999638949,0.6160687828801369,0.9994808689633182,0.999100793596375,0.9995857052402973,0.23576591427623925
2,0.05600656238087379,0.871348292732138,0.6156956480221885,0.9994801721753324,0.9990605458784901,0.9996110690043645,0.2410770115946408
3,0.697315137450887,0.8776269293516458,0.6229754055002632,0.9994585169722978,0.9990873180079146,0.999587681411093,0.2377415619436311
4,0.6957663271363332,0.8747952560804285,0.6231243171613944,0.9994715392570843,0.9990889463917193,0.9995824196752575,0.23676764062171737
5,0.6832339892002411,0.9185890269425047,0.6723248091195775,0.9994573414612479,0.9990666385923656,0.9995994082383959,0.23900655849353053
6,0.6163816090593338,0.9124155564906571,0.6628893412499224,0.9994519565956612,0.9990614041198613,0.999612097215582,0.23997940343712587
7,0.425704545198775,0.9205343282247133,0.6828589145354792,0.9994238331651666,0.99905728613642,0.9996107505089626,0.24052879009519526
8,0.2313900639088,0.8836812778714223,0.6344621302284915,0.9994505950588217,0.9990741551785957,0.9996090453643829,0.2389452772741737
9,0.8981905212162861,0.8913494615272817,0.6459518373933961,0.9994481779483694,0.9990502708562616,0.9996141101431115,0.24130054750864594
10,0.9240393527018698,0.8733256117403413,0.6249700671088075,0.9994465327849682,0.9990686875248354,0.9996117286184276,0.23934488136042
11,0.8934522798343764,0.8960853127708964,0.6451079251601898,0.9994144147756263,0.9990459697212367,0.999628535501428,0.24110028287819477
12,0.6074674859936425,0.8928796406292108,0.6405211867217682,0.9994013160238463,0.9990483964585888,0.9996369635451429,0.2406628333692241
13,0.20749414790903814,0.9262459765254243,0.6855942371736329,0.9993685174656728,0.9990362574495936,0.9996460944585301,0.24011342838937297
14,0.13304581596614207,0.9060994862385222,0.6626648649299719,0.9993786570520581,0.9990327317009198,0.9996495677576018,0.24074193727992854
15,0.5405262525222952,0.9290856705551669,0.6938248315519346,0.999382375576627,0.9990357140367532,0.9996436569496203,0.2410557357704444
16,0.5125411986756782,0.9083896632789872,0.659888300120657,0.9994198939154157,0.9990541849964186,0.9996211096804622,0.24009902149321882
17,0.40263709299012207,0.9225163098786952,0.6800654388812332,0.9994202085251394,0.9990525855670708,0.9996176071453465,0.24083549126348666
18,0.23277802108906342,0.9013448006420208,0.6550915449934391,0.9994142564380836,0.9990555113851917,0.9996238618995985,0.24009951879154492
19,0.39533252920209944,0.9027371786743766,0.6614965273799343,0.9994004500182337,0.9990523578374984,0.9996207394048948,0.2397968777354462
20,0.6605743404443136,0.8508699973847719,0.6133963478431886,0.9994311204072168,0.9990682268241448,0.9996228839697278,0.2393052597900044
21,0.9000842908593196,0.8357869017003502,0.6065109206969734,0.9994403605677523,0.999048429178695,0.9996301869771922,0.2419060417064451
22,0.8828012821924036,0.8036454537205465,0.5923805307524291,0.9994614243391495,0.999063763585714,0.9996297119540706,0.24092552529469163
23,0.8633362259136447,0.8379904545395582,0.6103210896823854,0.9994543412846025,0.9990540024874781,0.9996318657411624,0.2406776316890641
24,0.6446393897552695,0.8913765055265916,0.6268443176381039,0.999427593713218,0.9990368421122132,0.9996371820745354,0.2411359353345955
25,0.2969995454325315,0.8898488961677138,0.6364875368245536,0.9993877721363548,0.9990461474456469,0.9996482836421815,0.239036854598644
26,0.3492404213276245,0.8711122481308535,0.6222083177825867,0.9993988264548471,0.99903694132447,0.9996519669714515,0.24025593902279402
27,0.24533418384957326,0.896137934848667,0.6374762672635984,0.9994328531015925,0.9990565339170769,0.999623906949565,0.23934105247831822
28,0.13398778899413458,0.8576033474349914,0.6021822176774939,0.999482759207593,0.9990663527816984,0.9996177724287701,0.24099553429846257
29,0.4040557601143182,0.8717380023502885,0.6174523457920034,0.9994748477507431,0.999059210197662,0.9996091827846108,0.24194965300312568
30,0.426763280825956,0.8387686180547029,0.599205289950105,0.9994702196421893,0.9990932015527192,0.9995979014859385,0.23537222113278392
31,0.10058990207501735,0.8993131773525422,0.648202850249349,0.9993940962216797,0.9990203775681465,0.9996629617000583,0.24301007130591482
32,0.4082564299554953,0.8794696936864357,0.6316590304312814,0.9994077085882032,0.9990418627028923,0.9996637566296246,0.2413609157984996
33,0.21613689499856614,0.9145642813524995,0.6587570194387546,0.9993951038928123,0.9990233102499895,0.9996625965739283,0.24285676761737748
34,0.10992984865995264,0.8645656118112879,0.6166195872634878,0.9994282750407708,0.9990507509169939,0.9996382165687397,0.2405023725161883
35,0.27343549372316145,0.8605903605461188,0.6236945553527079,0.999395773527019,0.9990455600613234,0.9996561398683997,0.24041528649459606
36,0.30181727299336863,0.8455341423049778,0.6140994443844245,0.9994379513073435,0.9990467775051141,0.9996529739724639,0.24115001241356956
37,0.4241733550029157,0.9091428673027464,0.653366417006299,0.9994098843936533,0.999024855303988,0.9996664512297407,0.243014322970424
38,0.5916741443712773,0.8672296418127787,0.6146514672204073,0.9994131609007882,0.9990394447749927,0.9996533188616753,0.2409396112763812
39,0.4307573150188571,0.8986266670160347,0.6451598370415985,0.9993828409536608,0.9990409920304824,0.9996589150582954,0.23940960467304395
40,0.18404087388703932,0.8703732839879487,0.6200127924487434,0.9994277640586761,0.9990552594106399,0.9996416674203775,0.2395588058440116
41,0.23387382411418361,0.8561449039653771,0.6179558400050393,0.9994128354684793,0.9990501319399343,0.9996348474667007,0.23974849097936982
42,0.2691554298933383,0.7909852477955126,0.5983042919608328,0.9994538800146628,0.999078554008971,0.9996204169393859,0.23769176344962786
43,0.22712523223074624,0.8524896451311974,0.6269440901217955,0.9994468147275029,0.9990717602551837,0.9996192087544483,0.2377355374779712
44,0.4855511631774173,0.8412544811001716,0.6034146942002905,0.999456284400744,0.9990896743698182,0.999609192532166,0.23605041355334075
45,0.6675292005968372,0.9127656246832699,0.6567083455573347,0.9993818626698717,0.9990563174112385,0.9996518319533326,0.23737240906999102
46,0.7626927821747669,0.9210796229243252,0.6642793708664255,0.9993844186969982,0.9990360081578605,0.9996614633318359,0.23923209510218865
