sample_idx,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9
0,0.816809079976908,0.9764576939542068,0.8631814321688293,0.9888464193897911,0.989172103108411,0.999888267717372,0.9996138561582734,0.9945566040300016,0.22284636227537685
1,0.61598123183489,0.9773387732318379,0.8619586552168552,0.988882113075773,0.9892944773800507,0.9998848560094277,0.9996127816096834,0.9942796237638306,0.2224426390260837
2,0.21428568842874063,0.9781666404368389,0.8628209335933377,0.9888869793105051,0.9892967533948525,0.9998865396615798,0.9996140817611342,0.9943086360502608,0.2224334994216595
3,0.3970699367140182,0.9790902753831329,0.8630390826942365,0.9890515500313551,0.9893820656819026,0.999885427043046,0.9996152985723252,0.9940961915067058,0.22184024232258373
4,0.8362688476217152,0.9791653264084429,0.8639628171217091,0.989129343966441,0.9894197437066344,0.9998854080782906,0.9996182581420292,0.993891053593949,0.22172087840875085
5,0.9037727700088578,0.9793309970057917,0.8654146206881269,0.9889945596001047,0.9893782117623624,0.9998885445629704,0.9996164962990503,0.9942816439896465,0.22221956615681498
6,0.8859822320219183,0.9797450480670947,0.8649342496238764,0.9890872211654842,0.989413117755412,0.9998877688024458,0.9996188661736518,0.9942294762752267,0.22217116637274523
7,0.9173303405483286,0.9790619629400998,0.8656025652028041,0.9891421673786603,0.9894622216081674,0.999888708531443,0.9996179402271169,0.9943508752547834,0.2223310091743818
8,0.7513986836054304,0.9786824767295953,0.8649602580654606,0.9890880345077027,0.9893815110735174,0.9998889747287982,0.9996192768004726,0.9945188569340823,0.22238072853719423
9,0.4074980795536589,0.9778008851819637,0.8646283850368712,0.9889581533479797,0.9892865156712018,0.9998892949949499,0.9996173595045384,0.9946739051783587,0.22284040663856258
10,0.04046473478324487,0.9774090246210592,0.8642690928827469,0.9890187051022226,0.9893687129392997,0.9998892484220759,0.9996129759210202,0.994680094401616,0.22319543908227316
11,0.04428655203190672,0.9768891770059827,0.8634036863446003,0.9889977465200805,0.9894013887586911,0.9998886271104355,0.9996149463835662,0.9947037867179651,0.22294723948744252
12,0.208079487633736,0.9769381862649461,0.862585611133284,0.9887192905516947,0.9891392954474244,0.9998879707897017,0.9996164208707154,0.9948862489674557,0.22340025331636215
13,0.2502869921337275,0.9769881553309404,0.8625070868974565,0.9888705374400762,0.9893863702384671,0.9998847994720759,0.9996101745831881,0.9945871769150039,0.22313368277825668
