sample_idx,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6
0,0.08250238699269613,0.9752172240993859,0.8626389143841164,0.9888123847252784,0.6548476598212263,0.9396617318348489
1,0.3232705779300583,0.9748973479531353,0.8616994903378044,0.9884787104453637,0.6701530160810599,0.9378379936514186
2,0.3599821654833884,0.9755994444602607,0.8617501920999043,0.9882488006685127,0.6600596949860144,0.9440670698422381
3,0.08332292090925207,0.9765515207265275,0.8623295119970354,0.9883971721107716,0.6683888127614259,0.9452824548802519
4,0.7884997442077277,0.9768878304614341,0.8627319103501037,0.9885345289655637,0.6681022021686703,0.9450257043913516
5,0.9390116300144171,0.9767941124242757,0.8631637552025493,0.9886969579484919,0.6659005488477623,0.9389795394192557
6,0.37222105239471054,0.9762563042755363,0.8629750219400627,0.988698093302976,0.6679542602824549,0.9378795748119405
7,0.07787988124885924,0.9757739915265966,0.8625142720141906,0.9886866800889811,0.6682209382242681,0.9387928774301378
8,0.2529615208821964,0.9755077112984168,0.8624617207934219,0.9886280750755975,0.6689487670668331,0.9380056633346673
9,0.6680452319347961,0.9751904330021504,0.8622382818701135,0.9885395063800567,0.6703490833849847,0.938344267828967
10,0.8072979622032846,0.9751040433316498,0.8616357530549398,0.9884240627636337,0.6707767699469056,0.9380486299937867
11,0.7963786507661582,0.975012455199404,0.8610979191613318,0.9884360954276018,0.6682091325836719,0.9455916857326009
12,0.7811161058873517,0.9746080050524019,0.8613072645671653,0.9884962904580249,0.6681256453583627,0.9451799910131765
13,0.8560587623583314,0.9747488821405448,0.8616169070634897,0.9884158405624915,0.6682257241144054,0.9380077360951943
14,0.8000098978174587,0.9754746677474523,0.8612232865389309,0.9883303337726176,0.6687337550687693,0.9439695617245464
15,0.5801577357752935,0.9758373951255019,0.8616583957794879,0.9884919083527736,0.6681134196301152,0.9448680076156737
16,0.7385843176737176,0.9758329284194369,0.862192590675411,0.9886152313088993,0.6675917139931739,0.9385623804687
17,0.8389184811472128,0.9755703030637951,0.8626921450298967,0.9886956856419267,0.6569167545995879,0.9407849256952577
18,0.8710328106085921,0.9753502505931191,0.8622230684808678,0.9886730740371407,0.6677915620134588,0.9379676628544219
19,0.9109328988290724,0.9751192165519035,0.861625468816822,0.9885717317294083,0.6685024801859927,0.9382538840366413
20,0.9608369354343764,0.9752024509127685,0.8617986895242777,0.9885866343790821,0.6558559440132185,0.9404340981829526
21,0.9269601303809291,0.9751874967662347,0.8616611862611225,0.9885208548653124,0.6679725982764492,0.9430876687032856
22,0.5309167647787603,0.9755948753706194,0.862188510073047,0.9885495571259311,0.6626579347123226,0.9382814298766674
23,0.12523261609120684,0.9760779492377447,0.8623816953676982,0.9885250966205748,0.6699339275058698,0.9418755336456573
24,0.4616085038371717,0.9769798990435319,0.8627484974045101,0.9885246026101788,0.6631449905122643,0.9352428326007282
