sample_idx,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6
0,0.5601283571315903,0.9770542207788707,0.863364523973684,0.9892554172418817,0.6436221989943508,0.9427499701795848
1,0.4026186220261727,0.9770113928922918,0.863386674267683,0.9890357632098632,0.6544210324519767,0.941561149130645
2,0.06587525069133159,0.9769852029958647,0.8641396455756705,0.9892498946054539,0.6520907552946972,0.9421366377535031
3,0.6389167594548435,0.9769277694789221,0.8633038829702351,0.9889213913408074,0.6543585394647878,0.9415236222509936
4,0.6910791982203576,0.9773723761952553,0.8630663469178583,0.9888970799220012,0.654715638097074,0.9414977093133728
5,0.7334878050127417,0.9776484444212492,0.8638843137028485,0.9890415934010642,0.6542130978981943,0.9415647053633082
6,0.653390953949865,0.9774724759081752,0.8642392440243892,0.9892778548627068,0.6485651756102216,0.9424985394064204
7,0.39377943798151893,0.9768187914650777,0.8616445459488438,0.98896281502008,0.6536744228004724,0.9416218281252458
8,0.14696149458701,0.9764978173461268,0.862156765662882,0.9889649569333715,0.6545133675621273,0.94161623186726
9,0.8790550736302458,0.9759974605222907,0.8618906384884926,0.9890405822049153,0.655729057035899,0.9414814771188219
10,0.9447731259622903,0.9759002330261686,0.8615743353970766,0.9888603581627203,0.6561361507111667,0.9413934891601027
11,0.9208538733047144,0.975886701944524,0.8612103435852434,0.9887768922036277,0.6565728923046511,0.9413812615120921
12,0.6119923891895671,0.9763955086418827,0.8615564873509665,0.9887286548988481,0.6561492974218079,0.9414014304923329
13,0.14235937412955244,0.976857676334969,0.8617528442492384,0.9887123663104491,0.656373297746197,0.9414096586946693
14,0.12790915715602785,0.9772955291633796,0.8625805751566165,0.988844201764198,0.6556347906489502,0.9414108031984586
15,0.5872905225833246,0.9771867583602888,0.8623849370596777,0.988912827613525,0.6547865384080764,0.9414753689395187
16,0.4884627416465538,0.977107121882355,0.8619833024910016,0.9889476631786164,0.6545254307489381,0.9414582098590274
17,0.3753805746817643,0.9768649631314662,0.8622631897558093,0.9889175387762568,0.6545500212744926,0.9415555797739998
18,0.201374736105885,0.9768357844482565,0.8626925002092586,0.9890305502387047,0.6548068481431509,0.9415852478399357
19,0.3258980108387644,0.976380693191524,0.8616878466240802,0.9889154054110973,0.6553899436324762,0.9414610038074087
20,0.622187946554509,0.976163663298275,0.8618449534255381,0.9889175508471318,0.655515992849664,0.9414509513402333
21,0.8717075879121912,0.9758871779036399,0.8614372772148502,0.9888835788978227,0.6557380104767154,0.9414344050306973
22,0.9388490409220499,0.9757604301909012,0.8615235735539398,0.9888047173732368,0.6559060314527919,0.9414725177502401
23,0.9180925754602215,0.9759402614918088,0.861467177289968,0.9887612843601605,0.6563582797779558,0.9414023357931319
24,0.6302761948583666,0.976609349714412,0.861652846940332,0.9887110096396124,0.6556336113181404,0.9414710783902587
25,0.26080358832058803,0.9772669353102693,0.861634829733554,0.9887679768419647,0.6550139472653046,0.94144985109842
26,0.29385334542466285,0.9775507858032035,0.8619708070112094,0.9890200621777627,0.6538881170107652,0.9416101306315044
27,0.19048550297539574,0.9769549843104246,0.8617326486653433,0.989126035897079,0.6533784739830858,0.9416218405046574
28,0.14587829104949346,0.9764998582326716,0.861847159121032,0.9891188459379852,0.6532676334418838,0.9417199820950112
29,0.4884092939991291,0.976457152318248,0.8621583515304984,0.9891564772771636,0.652214686826886,0.9421778434323224
30,0.377269589405308,0.9768454431086433,0.8631440594146371,0.9892287371240995,0.6525037785615825,0.942083186127376
31,0.029741138005770395,0.9773545306618293,0.8627772786433167,0.9891481445069884,0.6534359123661647,0.941801998373519
32,0.3827408208360106,0.9773709986960544,0.8628581841330688,0.9889980942892979,0.653515520851961,0.9418660543725789
33,0.20287312213053335,0.9772589063219207,0.8631805838134563,0.9890695391766022,0.6535580689682544,0.9417667440518556
34,0.13832951872580543,0.976972555789542,0.8632619895329959,0.9892198833045941,0.6512597666391996,0.9423029446467818
35,0.20738394322370687,0.9768666795919647,0.862081426975339,0.9889388072619713,0.6536549252676267,0.9416997363961915
36,0.2920408102433443,0.9769252493650991,0.8627664197293916,0.9890932721736293,0.6531125000432171,0.9419385805164792
37,0.4534237137835695,0.976704519983203,0.8624064063614668,0.9889753558086095,0.6539602302179867,0.9416733357800697
38,0.5802696759106818,0.9768018569179631,0.8621160339688355,0.9889665145076132,0.6539617165412929,0.9417436276815843
39,0.42015860763910967,0.9767806153477131,0.8611569323908201,0.9888639037962919,0.6539334657348421,0.9416589865748025
40,0.175677961947009,0.9771049413183116,0.862314281564999,0.9890546821814565,0.6532388312883612,0.941853838926514
41,0.18296610136203548,0.9766763847041142,0.8624880915402374,0.9890751422880502,0.6532384660974097,0.9416816355770721
42,0.25430057422701907,0.9767234831991612,0.8632388956952178,0.9890622018387136,0.6533061472986832,0.9417995487011964
43,0.22420932250638864,0.9766278467480862,0.8630064254527532,0.9889872440432117,0.6530977096853812,0.9416715919502832
44,0.3926592791034802,0.9770640935444233,0.8636732944370741,0.9889774109859183,0.653101674860303,0.9417413500341761
45,0.6603845937263273,0.9779184168696359,0.8630518314073107,0.9889018528532041,0.6533980538217943,0.9416777410409595
46,0.841858266560021,0.9786123802939525,0.8636366135123202,0.9890728043608399,0.6526510036576791,0.9417736120238639
47,0.9541102432576957,0.9784640633639538,0.8637259289362922,0.9891907395383205,0.6518401125494618,0.941796769763389
48,0.9468051538381034,0.9780524061931715,0.8644616010511629,0.9894270440391782,0.6429750675778406,0.9426229569545844
49,0.8347967375813354,0.9774948540707645,0.8632002809554676,0.9892807173975309,0.6510713864673695,0.9421196969800177
50,0.381942639238464,0.9769276836608657,0.8635770851485448,0.989302953195576,0.6444034322180143,0.9425474268100205
51,0.4166853725325687,0.9762556030204701,0.8622126214677843,0.9892430035019942,0.6535980310139736,0.9417729228956633
52,0.7128043371374271,0.9754866039874646,0.8612457522052275,0.9890915278000497,0.6545460195306175,0.941638003860791
53,0.8428339485289574,0.9751568829304198,0.8606381374632596,0.9888929916731974,0.6552684718218089,0.9416181492768861
54,0.8577143144740839,0.9752493993406064,0.8605088768429394,0.9886595313925289,0.6566277265531675,0.9414355797298095
55,0.5920967594067063,0.9764347681863528,0.8609342502471364,0.988679898857828,0.6561641604642193,0.941442531857499
56,0.23564122144666685,0.9774002632772071,0.8621676164016394,0.9889117030875424,0.6553002090588684,0.9416178521606237
57,0.3121501824460362,0.9778757597191424,0.8632135101670992,0.9890677975553717,0.6530802254513403,0.9417272553760067
58,0.40883321736337375,0.9772209281783456,0.8643366721627823,0.9891895330155533,0.6513213381726966,0.942246512674771
59,0.5003966674001729,0.9772635850810429,0.8620926748428448,0.9889802478875676,0.6528776575456555,0.9417559806813799
60,0.6418547683969359,0.9774194000289519,0.8618650098342784,0.9890168118927154,0.6528907388767394,0.9417573298223846
61,0.7395100575149444,0.9775258216366751,0.8639073267420634,0.9893376864155603,0.644300592778618,0.942700567018803
62,0.5436408734217285,0.9771531281819724,0.8643236996648443,0.9893764971968008,0.6452996287440258,0.9426984522089771
63,0.31014375670564104,0.9764709542836735,0.8631983760448763,0.9891513779371915,0.6523769095435208,0.9418276698081783
64,0.2141307962019549,0.9766747582115521,0.8620606365692609,0.9888586110867209,0.6537112557011642,0.9416630177596007
65,0.41670576843547535,0.9771445242263704,0.8631823499253762,0.9887759436962891,0.6545080757139269,0.9415539757179918
66,0.5523233390024221,0.9777159808479108,0.8644893171649883,0.9889177077184437,0.6536164725513993,0.9416757681313564
67,0.3635594013259001,0.9771766136074558,0.8632409860353734,0.9890128406936026,0.6557224604030011,0.9427975417640377
68,0.23881623270312066,0.9766057501678695,0.86296628034286,0.9890333797118688,0.6531034218275504,0.9415873107015369
69,0.054361241671207754,0.9758908322395595,0.8619998860403926,0.9889998615518114,0.6532200472262003,0.9416812395071209
70,0.31712957146531,0.9756517439804326,0.861911083590341,0.988766846320733,0.6549128765149052,0.9415896090163062
71,0.5314173205467073,0.976694955821024,0.8611182951549421,0.9887141899281163,0.655883210307642,0.9414097339026745
72,0.324470551666919,0.9767137933189097,0.8611555249041177,0.98888296907431,0.6581402754908318,0.9427298662663355
73,0.22339377132707133,0.9770754355362952,0.862315536807633,0.9889273110773098,0.6545124612892963,0.9416289750734573
74,0.10480739000137204,0.9771239083212204,0.86232825913177,0.9889241188156874,0.6545667015145915,0.9415916625908662
75,0.5341632056901428,0.9772731029024092,0.8629096857977757,0.9888742885153293,0.6545893939855665,0.9416105787947583
76,0.4276150945516692,0.9775311335362472,0.862864389621496,0.9889056078990469,0.6546605087307511,0.9415837306267717
77,0.7327218127190662,0.9778068478110126,0.8626147959954388,0.9889753500147961,0.6540592704932379,0.9415649686928107
78,0.857710834068805,0.9778868055888388,0.8632838172949144,0.9889870966612743,0.6534075328356515,0.94164453686718
79,0.857427361890765,0.9775477244320948,0.8647497776599232,0.9890702120057335,0.6536343337743147,0.9416355503455923
80,0.910102834199521,0.9780007213034096,0.863656169584316,0.9889990279075828,0.6534518294814572,0.9415330232232315
81,0.9756690659246995,0.9777985750447804,0.8636864563280136,0.9890957319803412,0.653846818453895,0.9413982225708258
82,0.9261362644769018,0.9778962933934,0.8634915120329558,0.9890966110125248,0.6532094686704812,0.9416358323161317
83,0.9328702582437968,0.9778278434752381,0.8639960484202038,0.989195089195893,0.6508782207212868,0.9422915353853287
84,0.9017366175247215,0.9775364285772364,0.8633398855668871,0.9892104333471542,0.6542718366248773,0.9416099729225167
85,0.8448730608643465,0.9771732587638118,0.8629583928766867,0.9890400479313569,0.6542551813713171,0.9416361732344511
86,0.5127252970436578,0.9769023834163522,0.8632022254702778,0.988986750207948,0.6559456510743156,0.9413480138104594
87,0.13150470700955694,0.9765176406348113,0.8626710580031679,0.9889917014101777,0.6561564536135813,0.9413959156995705
88,0.4409557791652059,0.9759114872030253,0.8615289682213791,0.9889003321007296,0.6563727275912241,0.941400490497115
89,0.7512216836104197,0.9754593843598962,0.861171668606885,0.9888937290402563,0.6568997674289657,0.9413980768889025
90,0.7464949261272839,0.9755858501179422,0.8608500390934692,0.9887325326961057,0.6567016074144777,0.9414603828584704
91,0.6920844576975564,0.9757767728209001,0.8617845859082512,0.9887237206636613,0.658027071133982,0.9412760193777766
92,0.2875833704590633,0.9763774930005802,0.8634523316216118,0.988906043425249,0.6572964128993228,0.9412395336775664
93,0.42472254020155165,0.9772169113079608,0.8623810876117839,0.9888575881861523,0.6584772764500715,0.9428239722890607
94,0.9209788609919777,0.9777932681224697,0.8628445765524678,0.9889362943232953,0.6557359590839499,0.9413135795288881
95,0.9333961866632707,0.9780153112281196,0.8644628851519898,0.9892492715613228,0.6492735612191581,0.9423948028837752
96,0.9687565610347671,0.9779424650634437,0.8637166878366249,0.9891686181832514,0.6543423624537255,0.9415470841374838
