sample_idx,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6
0,0.9280009652489785,0.9786441980717926,0.8650573697191385,0.9892639826309788,0.6499200861464386,0.9424069133832943
1,0.7933031358487682,0.9780187861086822,0.8637097978309948,0.9891939490914782,0.6541311705400364,0.94150486543655
2,0.765074024723436,0.9773099265865155,0.8646972807644465,0.9893281397221853,0.6450586535698853,0.9425742707920437
3,0.7709963768009266,0.9770785961624148,0.864135780830161,0.9891505343824706,0.6536422338219907,0.9421424208273483
4,0.6960283317888544,0.9773322221980786,0.8630762988600806,0.9889002422957616,0.6533222814974733,0.942226282104331
5,0.7603507759127137,0.9776099697440156,0.8635362090555728,0.9891005394367617,0.6537652575910825,0.9421161488271612
6,0.8990770819721188,0.9772980110311426,0.8631977554243134,0.9891818923703461,0.6552469243858601,0.9430378764401743
7,0.8643012408503727,0.9773296132817328,0.8645295985347715,0.9892332941962151,0.6442402427001693,0.9434580600597166
8,0.8905436154168626,0.9774695818534851,0.8645105999459134,0.9891464254297503,0.6514877920154684,0.9432326839911241
9,0.5313120228299706,0.9772971685102323,0.8633661334905189,0.989134596619686,0.6510289330697414,0.9431884305426778
10,0.19746720938012904,0.9766266703644003,0.8624856245539426,0.9890630973775867,0.6498110800262494,0.9432907654815278
11,0.03719676019588131,0.9761753071956445,0.8624273973147842,0.9890264929637939,0.6495099186805631,0.9436114813978703
12,0.13694928256046118,0.9759988294944848,0.8624740078055809,0.9888898249192697,0.6495390245492044,0.9437874482751164
13,0.14248439104833352,0.9765542074979066,0.862838725874154,0.9888511794542143,0.6499377978625395,0.94387842526845
14,0.2144419687110453,0.9768342562846564,0.8623891527202434,0.9889139500303358,0.6548318953756019,0.9440556208854008
15,0.4676627392894721,0.9766636937317389,0.8626165198452258,0.9890207744565125,0.6503405588848136,0.9434836428096176
16,0.19496842240139173,0.9763130019554708,0.8619490452806725,0.9890306368761519,0.6493899898267612,0.9436386117590982
17,0.6819432709036048,0.9758442637308996,0.8618301228050916,0.9889577918968779,0.649587356328926,0.9438066359630045
18,0.8814523196599438,0.975562718775112,0.8611570511334085,0.9888956503475077,0.6498003075669359,0.943826985552849
19,0.9842792461380847,0.97521765016151,0.8607811588208415,0.9887205278021881,0.6504528922533911,0.9438415947493035
20,0.9931390615002643,0.9755142976971212,0.8607625749416067,0.9887782382689048,0.6509534035832268,0.9435837661097464
21,0.7439208473437295,0.9754675906012438,0.8618358373620925,0.9887403389449179,0.6542173623117796,0.9434074474592438
22,0.27258035865209296,0.976156209725034,0.8625713267146954,0.9888326394343626,0.6527945119307715,0.9430192436198401
23,0.04425015244175496,0.9765587998511275,0.8621125293566609,0.9886776054068698,0.6535153340686355,0.9430535866774137
24,0.18252904635479336,0.977210539332075,0.8626769181943029,0.9889304634007903,0.6534601467561502,0.9426166434734193
25,0.5728595484001755,0.9769008054064304,0.8628976548497489,0.9890022903118867,0.6542458758320221,0.9425798952647173
26,0.5108994852391743,0.9767244245076923,0.8630182513906426,0.9889871390285709,0.6524803002213714,0.9427151617852463
27,0.28048783959388174,0.9767895777140774,0.8626663344414351,0.9888637820142813,0.6521958194007712,0.9428609002431503
28,0.24369220526615643,0.9769439894353893,0.8629474688218641,0.9890111705156431,0.6529604496594443,0.9427414667739477
29,0.14051448239812486,0.9765444775450164,0.8625944018366721,0.9890801079144047,0.6530289224564607,0.942761579520151
30,0.4820280757043841,0.9759612481988627,0.8623327154419546,0.9890653701685311,0.6524432708772191,0.9429440552001118
31,0.8312646560424338,0.9755107832297275,0.8612282149940835,0.9889764712626403,0.6521779736270017,0.9430545584847375
