sample_idx,Layer_1,Layer_2,Layer_3,Layer_4
0,0.8758700731446302,0.9764893665352079,0.7552729393993649,0.7628900190234049
1,0.6167944555913631,0.9766562763179085,0.7551928861829965,0.7626645247313055
2,0.5998879756284182,0.9743577371347969,0.7581260612573455,0.7632397597836945
3,0.7106782277965873,0.9728478192629308,0.7592289768490929,0.7644150852640041
4,0.7816319718684376,0.9729909643936427,0.7580417349967591,0.7633137496201602
5,0.7971955605912159,0.9731918119955774,0.7580270998527069,0.7636125944628912
6,0.7365527196579025,0.973582607862751,0.7587586930673653,0.7636047987063703
7,0.7723456185182214,0.9734038161093526,0.7620387310262732,0.7660567691688018
8,0.9252604213376238,0.9735453889948578,0.7615514366373525,0.7664791039000062
9,0.45726433046840964,0.974942532658122,0.7586370088963601,0.7643543140106428
10,0.11286824632145656,0.9741580324486788,0.7601613689656087,0.764851222083491
11,0.05671013492736075,0.9730016577071338,0.7618422295769205,0.7656432017709296
12,0.13704269176005177,0.971616439268432,0.7639684498251998,0.7671855374370696
13,0.07319198094183572,0.9722443959161442,0.7618219410103075,0.7660020334660045
14,0.2735412223252601,0.9731642120996892,0.7597025091368546,0.7645254768931892
15,0.42257921443378677,0.9737650255588594,0.7609550559733202,0.7654045218038141
16,0.3404762416086602,0.9734905116654793,0.7629031017234864,0.7667838434191622
17,0.8720337717339905,0.9731809152051527,0.7638838904629642,0.7674104139204453
18,0.9747092768974401,0.9731943715738767,0.762006013284955,0.7655626515558387
19,0.9599901480601827,0.9727089714268679,0.7623228347313684,0.7655869899355826
20,0.9172608795956498,0.9733169474598656,0.7606355684922138,0.7641539673801351
21,0.611126228299779,0.9727563975357626,0.7604998207018246,0.7642312521132899
22,0.18961378001337667,0.9739396662548189,0.7586974328837593,0.7632002881026337
23,0.06043842190249417,0.9738269808013976,0.758657275611746,0.7634714760211152
24,0.21622619807824117,0.9752206399670914,0.7573478208922698,0.7629932445814153
25,0.4358829435816815,0.9749137302469136,0.7581011522937966,0.7633331120495617
26,0.3872137345752563,0.975080429997197,0.7588135386830897,0.763793093602798
27,0.37040352160734086,0.9744344533803021,0.7589578903232467,0.7637438522427241
28,0.3246744601723365,0.9744792230049493,0.7587896769122828,0.7636487227386977
29,0.20228727252251463,0.9740900158649872,0.7596179771019099,0.7636563961957092
30,0.6682284297605723,0.9738580595722729,0.7619834093463724,0.7655305875573581
31,0.9520765101650414,0.9745987744106238,0.7600851483079271,0.7642221811309062
32,0.8106314929748658,0.9730599223890019,0.7609256752433105,0.7640577567336767
33,0.4803668479474759,0.9721320312463786,0.7617154611326659,0.7649136792046278
34,0.2080002620547081,0.9732879061099456,0.7587291228387908,0.7633756715527613
35,0.5360690130732625,0.9745003852426953,0.7572798102787733,0.7629198037616727
36,0.8463996953381774,0.9755242534483513,0.7571920511276905,0.7630444477088183
37,0.35267369959666584,0.9750204360533508,0.7586205706051692,0.7633679557497459
38,0.3336582491836193,0.9741493695613299,0.7610666650571581,0.7649130327380679
39,0.8166197166050807,0.9735479697958492,0.7615318209750792,0.7645114919373112
40,0.9606846968066491,0.9727660354457467,0.7617533431161141,0.7642669359531992
41,0.954257080589753,0.9724388901338231,0.7621368906505533,0.7641519342376588
42,0.9164456923066141,0.9740354018803393,0.760181171892504,0.7635500337446928
43,0.6985312043786605,0.9726539686216481,0.7608490602406217,0.7635683791981638
44,0.3261401197433456,0.9739563698687692,0.7588253891899118,0.763345245824867
45,0.13766544945215492,0.9742606120385295,0.7569318043457465,0.7628709106793147
46,0.04035140348531724,0.9758246822558101,0.7560463221925189,0.7632836337168409
47,0.22445341500262378,0.9735401541631867,0.7574215312932642,0.7632933412124412
48,0.41483778056518483,0.9722217232152756,0.7602776904672564,0.764771640928787
49,0.5480163269642666,0.9724793704679826,0.7582625190317951,0.7630509797243863
50,0.6710640270951164,0.973527902644177,0.7574467003204522,0.7631972993787093
51,0.7190065480432989,0.9753588067392842,0.7571514062404535,0.7631041900972221
52,0.544426542401928,0.9741320161617095,0.7588185436277214,0.7634984842598725
53,0.6928254872004932,0.9730716838938018,0.7600174249572695,0.7646695052304535
54,0.6810788002843824,0.9740196436599947,0.7574817548870559,0.7627952047266228
55,0.3097178879608603,0.9737684545475882,0.7583038720075355,0.7631055528777426
56,0.12230783788426597,0.974303572978846,0.7584282309019172,0.7632630965835184
57,0.1337084757796288,0.9742160326458918,0.7585148409275793,0.7630149478360593
58,0.09703124231938744,0.9731924567963413,0.7597654721077978,0.7637851825606238
59,0.22203129724197704,0.973655140059241,0.7586142233237911,0.7634310723102207
60,0.0992865286345752,0.9743117543052248,0.7579492346161035,0.7633485817351714
