sample_idx,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5
0,0.7778193391689586,0.6842100021902783,0.93179571480526,0.4941886075516494,0.9234143875833146
1,0.6522632041935322,0.6813212815479303,0.9316843356314969,0.4943190831789406,0.9233918201691163
2,-0.03323202591428316,0.6820120968173013,0.9313322548926259,0.4942426701761522,0.9233600725017957
3,-0.03323202591428316,0.6820120968173013,0.9313322548926259,0.4942426701761522,0.9233600725017957
4,-0.03323202591428316,0.6820120968173013,0.9313322548926259,0.4942426701761522,0.9233600725017957
5,-0.03323202591428316,0.6820120968173013,0.9313322548926259,0.4942426701761522,0.9233600725017957
6,-0.03323202591428316,0.6820120968173013,0.9313322548926259,0.4942426701761522,0.9233600725017957
7,-0.03323202591428316,0.6820120968173013,0.9313322548926259,0.4942426701761522,0.9233600725017957
8,0.20058661730773983,0.6878748504725817,0.9293363487898308,0.494338872570521,0.9233618528244479
9,0.40745790871311793,0.7030790624085961,0.930921758780327,0.49435009127880697,0.9233615601467079
10,0.591024690497014,0.709987251023832,0.9341119063842018,0.4942628292833953,0.9233850882125202
11,0.7254107464438513,0.702614905846249,0.9357777902212244,0.4940703087377467,0.923352345051879
12,0.7792357958813589,0.6867886968344691,0.9355669260406796,0.49389136540647277,0.9233892233635332
13,0.6468956552732026,0.6744020432216477,0.9342400361749784,0.4944962004242838,0.9233569297791632
14,-0.12009122214167894,0.6778791948980345,0.9329624294905481,0.4942594360590378,0.9232306586471185
15,-0.12009122214167894,0.6778791948980345,0.9329624294905481,0.4942594360590378,0.9232306586471185
16,-0.12009122214167894,0.6778791948980345,0.9329624294905481,0.4942594360590378,0.9232306586471185
17,-0.12009122214167894,0.6778791948980345,0.9329624294905481,0.4942594360590378,0.9232306586471185
18,-0.12009122214167894,0.6778791948980345,0.9329624294905481,0.4942594360590378,0.9232306586471185
19,0.19729596227429902,0.6766795931125402,0.9340112069704105,0.49418761362179425,0.9232300487949037
20,0.3830285919991352,0.6693271586945654,0.9332376579765425,0.49416665924166564,0.9232303956899253
21,0.5565144567015889,0.663852001838709,0.9314542364429589,0.4942453871671124,0.9232278621927368
22,0.7024985736678165,0.6656993769859654,0.9304099441365626,0.49432561450044776,0.9232414065592728
23,0.7773965302962543,0.6741666114163927,0.9306761042291638,0.4944487328786945,0.9232526421263796
24,0.6600816625639416,0.6815691694574866,0.931285014679765,0.4940631664553979,0.9232171192784502
25,0.19741423894347035,0.6819643440835481,0.9316335532166876,0.49419805067270134,0.9232324766140998
26,0.39780233292581896,0.6878488511791101,0.9323000461588421,0.49423129404175625,0.9232326652017058
27,0.5858968870950313,0.6895142027463993,0.9332575333615053,0.4942922459823346,0.923231642077143
28,0.7428660846752227,0.6868410461838544,0.9335924355875824,0.49423334623058557,0.9232415248564267
29,0.8382382862816804,0.6817378453187293,0.9331054208560775,0.4941813656641122,0.9232569792757803
30,0.7926871853394966,0.6775199521604072,0.9323565773432005,0.4941702358641121,0.9232540445503764
31,0.6547896361720114,0.6795670055628922,0.9321958915981415,0.4944425051138276,0.9232402477288446
32,-0.1200684665971976,0.6790833952882026,0.9324685609723302,0.4942467548949455,0.923253858211929
33,-0.1200684665971976,0.6790833952882026,0.9324685609723302,0.4942467548949455,0.923253858211929
34,-0.1200684665971976,0.6790833952882026,0.9324685609723302,0.4942467548949455,0.923253858211929
35,-0.1200684665971976,0.6790833952882026,0.9324685609723302,0.4942467548949455,0.923253858211929
36,-0.1200684665971976,0.6790833952882026,0.9324685609723302,0.4942467548949455,0.923253858211929
37,-0.1200684665971976,0.6790833952882026,0.9324685609723302,0.4942467548949455,0.923253858211929
38,-0.1200684665971976,0.6790833952882026,0.9324685609723302,0.4942467548949455,0.923253858211929
39,-0.1200684665971976,0.6790833952882026,0.9324685609723302,0.4942467548949455,0.923253858211929
40,-0.1200684665971976,0.6790833952882026,0.9324685609723302,0.4942467548949455,0.923253858211929
41,-0.1200684665971976,0.6790833952882026,0.9324685609723302,0.4942467548949455,0.923253858211929
42,-0.1200684665971976,0.6790833952882026,0.9324685609723302,0.4942467548949455,0.923253858211929
43,-0.1200684665971976,0.6790833952882026,0.9324685609723302,0.4942467548949455,0.923253858211929
44,-0.1200684665971976,0.6790833952882026,0.9324685609723302,0.4942467548949455,0.923253858211929
45,-0.1200684665971976,0.6790833952882026,0.9324685609723302,0.4942467548949455,0.923253858211929
46,-0.1200684665971976,0.6790833952882026,0.9324685609723302,0.4942467548949455,0.923253858211929
47,-0.1200684665971976,0.6790833952882026,0.9324685609723302,0.4942467548949455,0.923253858211929
48,-0.1200684665971976,0.6790833952882026,0.9324685609723302,0.4942467548949455,0.923253858211929
49,-0.1200684665971976,0.6790833952882026,0.9324685609723302,0.4942467548949455,0.923253858211929
50,-0.1200684665971976,0.6790833952882026,0.9324685609723302,0.4942467548949455,0.923253858211929
51,-0.1200684665971976,0.6790833952882026,0.9324685609723302,0.4942467548949455,0.923253858211929
52,-0.1200684665971976,0.6790833952882026,0.9324685609723302,0.4942467548949455,0.923253858211929
53,-0.1200684665971976,0.6790833952882026,0.9324685609723302,0.4942467548949455,0.923253858211929
54,-0.1200684665971976,0.6790833952882026,0.9324685609723302,0.4942467548949455,0.923253858211929
55,-0.1200684665971976,0.6790833952882026,0.9324685609723302,0.4942467548949455,0.923253858211929
56,-0.1200684665971976,0.6790833952882026,0.9324685609723302,0.4942467548949455,0.923253858211929
57,0.18921445651350702,0.6755326152339738,0.9284752212354366,0.4942136217420273,0.9232541754783852
58,0.39463293946587885,0.6970648824561957,0.9307509759918353,0.4941708337532613,0.9232553467013932
59,0.5809951660317518,0.7063346819686955,0.9357127955733571,0.49451551858465115,0.9232301519645476
60,0.7223568519325815,0.6991357108905286,0.9386676029700944,0.4943581611595648,0.9234165141829982
