sample_idx,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7
0,0.2633699970991966,0.12552309187285615,0.013559266783044754,0.000986663311678626,0.0008942090667167779,0.00012364354826721602,0.7587861377602149
1,0.4090344254330106,0.14080673978515645,0.013577139612246825,0.0010330056464216142,0.0009072209230676087,0.00011337498108321409,0.757682070088643
2,0.7570925210852764,0.13328447916043595,0.016931371945165585,0.001110478002521953,0.0009327942150552104,0.00010709513634543644,0.7558945622876344
3,0.5977435138031066,0.1296853723028749,0.019774728802445574,0.0011515772008263703,0.0009447844908976322,0.00010651253794402571,0.756328250646858
4,0.1574639861753505,0.12973925062977287,0.02702689604500441,0.001174230819762423,0.0009614254531847832,0.00011583076680599103,0.7581861738726701
5,0.11978155356994835,0.1092048501978451,0.035017759325821185,0.0011569007440638268,0.0009612839422932229,0.0001245242130898383,0.7594504853589323
6,0.16358201947151374,0.09783213803638136,0.04337190601173402,0.001112449325423981,0.0009933813037068528,0.00012244254134363697,0.757030070133963
7,0.11054574233183612,0.0969170383419834,0.05228844905615604,0.0011303897047462153,0.0009930549647769737,0.0001368052186464519,0.7595691779779035
8,0.29384601539405464,0.08042102135775442,0.05838184511213684,0.0010637269840003682,0.0010076152528422089,0.00013274425620801722,0.7570528430381538
9,0.6207783905465498,0.0775318721187872,0.05477723452459882,0.0010457265279864014,0.0009806497638735756,0.0001535384175476162,0.7608019729017329
10,0.9446652472601662,0.0886332514990904,0.03737246715434439,0.0010163985117656038,0.0009557766123120537,0.0001463504317747999,0.7602208215512816
11,0.9260217191662385,0.09574628581287115,0.03136319601219362,0.0009559232822128338,0.0009393464175215804,0.00012649590471880412,0.7566973155863547
12,0.8513176621386382,0.08613527053802039,0.043465965002214,0.0009835967059196316,0.0009412342709281818,0.00014612171781480665,0.7607077662889183
13,0.6904460841373634,0.08631578259371564,0.053884892958450004,0.0011598444426892396,0.0009061441585239693,0.00016510814053283251,0.7668149786060159
14,0.6976674344017201,0.08809492948706121,0.05456037896884003,0.0010978361723448238,0.001014253324311154,0.00013398442288559131,0.7574712011994933
15,0.6683707845322004,0.08060567366304416,0.052495040438398366,0.0010677518856844204,0.0010021566873787968,0.00013406666350257446,0.7572804548055316
16,0.6346663725906899,0.08871648629441597,0.04071164090173596,0.0010467381058916203,0.0009884783487431603,0.00013341583714399086,0.7576331241928098
17,0.8309650773892046,0.0917689759851752,0.04159175946685956,0.001010554729708013,0.0009809487172603992,0.00013129672577616436,0.7573125081673969
18,0.9394693260209034,0.08653482641966137,0.04954661650997716,0.0010696386756922083,0.0009826722919511477,0.00013407915127039427,0.758269996424541
19,0.3070141800783588,0.08688936874110875,0.052380804490090416,0.0011362186940639951,0.0009750747397287984,0.00013870091364120984,0.7604232422872415
20,0.24130056380163978,0.09413206378290762,0.04578126614009803,0.0011054534684780126,0.0010002713791855689,0.00013239506100515275,0.757689949300774
21,0.7468141091337013,0.09513457742166775,0.04184693626564839,0.0010776566843599955,0.0009923492356288532,0.00012763034783636051,0.7562727626372795
22,0.6802139878325978,0.09462402242811596,0.04502605432698925,0.0010862585005874115,0.0010017384358508297,0.00012731459058901162,0.7564440829647778
23,0.7530654806128416,0.08935583693892102,0.047712541493647564,0.001107469398906602,0.0009966410714083995,0.00013275842236559754,0.7576629133008028
24,0.8703788969404923,0.09716646978472199,0.04266808488123519,0.0011173510149712351,0.0010060243671495828,0.00012515240428878638,0.7563404112413056
25,0.9193106845990786,0.10204052868144065,0.038371620627632,0.0010720973740103723,0.0010022556466480204,0.00011911025795618979,0.7542708824780961
26,0.8496060627598729,0.09806507492951122,0.04022245613547082,0.0010589592508040147,0.0009960435771055876,0.000124082751805199,0.7552257163497803
27,0.35919035102665064,0.09515133230211636,0.04195719416189003,0.0010826860240884528,0.0009924358103170494,0.00013083832649340987,0.7569244900622701
28,0.6799170422439852,0.09529550140310139,0.04446606615215565,0.0011247187870375708,0.0009961253711707752,0.00012718448409476668,0.7571111775499084
29,0.5371690687225087,0.09288005857337855,0.04312002033267004,0.001104973719618596,0.00101172020458562,0.00012142759743016818,0.7547441414588472
30,0.3399761131708122,0.09259915815832642,0.045061536653036804,0.0010996173032156165,0.001010494914289617,0.00012290103413559184,0.7555864064595439
31,0.5706200763174423,0.09254182016544599,0.044592776269369194,0.001093804035405599,0.0010141227074011994,0.00012205712849799877,0.7550727333617989
32,0.4220980642393033,0.09497230147673841,0.04520552882253781,0.0010837876102292032,0.0010118442060281785,0.0001226906351752266,0.754793635520473
33,0.731736123114449,0.09457971010294619,0.048639208202175155,0.0010945848847959683,0.0010123048346596386,0.0001269507861335617,0.7556526099922976
34,0.7123313202773359,0.09330710194920055,0.05063583061726362,0.0011048649497061858,0.0010152342850799911,0.00013166065487280054,0.7563142456251144
35,0.7803539027414829,0.0933589877151898,0.04865466398941176,0.001100680285276212,0.001018133609556826,0.00012566327094598595,0.7548236677135505
36,0.5526107853387202,0.09438622786236717,0.04528129270884518,0.0010967842965552421,0.001017151233793978,0.00013055813621742907,0.7557181499320026
37,0.565107176199428,0.0954581485757614,0.0456687566471804,0.0010933973294375843,0.0010138826199099782,0.00012483370005944572,0.7549625567423698
38,0.7785899177324205,0.09115943114728398,0.046896087089418836,0.001113853432864853,0.0010139657242895783,0.0001237484787668386,0.7552371404396478
39,0.8768998144145075,0.09402201348573835,0.044365345293707614,0.0011326776111392212,0.0010161026165419473,0.00011911755154936365,0.7547987443039212
40,0.5744443191072295,0.09391308826083,0.04572729392264685,0.0011218403485699913,0.0010139754943140344,0.0001226640045391969,0.7552597559127141
