sample_idx,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7
0,0.22218066083104138,0.31579003840182696,0.06820424138512882,0.0007192179681132504,0.0009703345305271949,0.0007413739416015641,0.7685947586662544
1,0.34773679580646777,0.318678693413912,0.06831568557712919,0.0007205588290032372,0.0009680986631583899,0.0007416641589640394,0.7685563630084188
2,1.033232025914283,0.31798787882599266,0.0686677616360426,0.0007268960898599852,0.0009729048615232383,0.0007394928715176441,0.7684990478462956
3,1.033232025914283,0.31798787882599266,0.0686677616360426,0.0007268960898599852,0.0009729048615232383,0.0007394928715176441,0.7684990478462956
4,1.033232025914283,0.31798787882599266,0.0686677616360426,0.0007268960898599852,0.0009729048615232383,0.0007394928715176441,0.7684990478462956
5,1.033232025914283,0.31798787882599266,0.0686677616360426,0.0007268960898599852,0.0009729048615232383,0.0007394928715176441,0.7684990478462956
6,1.033232025914283,0.31798787882599266,0.0686677616360426,0.0007268960898599852,0.0009729048615232383,0.0007394928715176441,0.7684990478462956
7,1.033232025914283,0.31798787882599266,0.0686677616360426,0.0007268960898599852,0.0009729048615232383,0.0007394928715176441,0.7684990478462956
8,0.7994133826922603,0.31212516924750955,0.07066359946398038,0.000722179924877997,0.0009757850664972034,0.0007394218423854015,0.7684979422736065
9,0.5925420912868822,0.29692096382301225,0.06907820878103998,0.0007203127803512288,0.0009774900140687715,0.0007349506239120451,0.7685107145635572
10,0.408975309502986,0.2900127465213387,0.06588808270860558,0.0007131924688458247,0.0009730162892516159,0.0007340670303142005,0.76851974539761
11,0.2745892535561487,0.2973851211117148,0.06422218088142184,0.000708486708763445,0.000964972447916379,0.0007364440683960138,0.7685384639312766
12,0.22076420411864106,0.31321129209395804,0.06443308073805798,0.0007056198897912314,0.0009562033222360045,0.0007417301193229919,0.7686123598873503
13,0.3531043447267974,0.3255979582311823,0.06575994939594199,0.0007182585000590214,0.0009636119303367829,0.0007386483470451788,0.7685024805750398
14,1.120091222141679,0.32212076749026475,0.06703761625654736,0.0007435815275870228,0.000987060074458812,0.0007304207535864249,0.7681003952392115
15,1.120091222141679,0.32212076749026475,0.06703761625654736,0.0007435815275870228,0.000987060074458812,0.0007304207535864249,0.7681003952392115
16,1.120091222141679,0.32212076749026475,0.06703761625654736,0.0007435815275870228,0.000987060074458812,0.0007304207535864249,0.7681003952392115
17,1.120091222141679,0.32212076749026475,0.06703761625654736,0.0007435815275870228,0.000987060074458812,0.0007304207535864249,0.7681003952392115
18,1.120091222141679,0.32212076749026475,0.06703761625654736,0.0007435815275870228,0.000987060074458812,0.0007304207535864249,0.7681003952392115
19,0.802704037725701,0.3233204108406966,0.06598877983164164,0.0007472813575758464,0.000984774048067183,0.0007315242828753732,0.7680992515524759
20,0.6169714080008648,0.3306728385191996,0.06676235361673044,0.0007480389382343855,0.0009838790425463761,0.0007299529189199738,0.7681070932280081
21,0.44348554329841106,0.3361479936533197,0.06854576200400841,0.0007509276365960105,0.0009860012523088546,0.0007340702572560254,0.7680802685322949
22,0.29750142633218346,0.3343006090040216,0.06959005665873919,0.0007530904753195733,0.000988145000284768,0.0007285631515575597,0.7680820856929649
23,0.22260346970374567,0.3258333604361239,0.06932390001639555,0.0007534012204055696,0.0009940573631509464,0.0007233776692854299,0.7680433301314523
24,0.33991833743605837,0.31843083136251127,0.06871500569611377,0.0007475160408729753,0.0009932017236475854,0.0007281396189884326,0.7681185287501746
25,0.8025857610565297,0.3180356507965305,0.06836645405883324,0.0007355759303587783,0.0009803136327983797,0.0007337108852671914,0.7683691663283346
26,0.6021976670741811,0.312151164409584,0.06769992549796522,0.0007325679010431463,0.0009798442180691813,0.0007333451136751767,0.7683691937642037
