sample_idx,Layer_1,Layer_2,Layer_3
0,0.15223061988518538,0.043695382007670425,0.1875960808492405
1,0.1350109048298982,0.0434126442278272,0.18682527118276537
2,0.11930437416974438,0.04441653710993099,0.18882907997964893
3,0.15418450031704567,0.043739163333843756,0.18655689879371873
4,0.13057600749724885,0.04354201914316802,0.18555554584821676
5,0.05480682696712624,0.04429830101432697,0.18661513098789906
6,0.06081953985926236,0.04441158648877963,0.18470981977652956
7,0.08382553182966357,0.04497642687621162,0.18434356031257504
8,0.038578148169630455,0.046700542653762445,0.18654377421001023
9,0.047649316443812983,0.04647265326502581,0.1848764764952665
10,0.049834440266499413,0.04592715073393516,0.18345274503874165
11,0.14589251464071018,0.047593763046666404,0.18812196492309619
12,0.4231872280313599,0.04637840111770475,0.18647961878771047
13,0.5370508040954904,0.04728308775615342,0.18472571363330093
14,0.3776123070830436,0.048151969529404814,0.1893441717879666
15,0.278217343233367,0.047978967085162805,0.18527442787944204
16,0.20384324546062538,0.05093913404095285,0.18837023941589837
17,0.16378597329082611,0.051272981334370415,0.1891107371096704
18,0.20659845940246913,0.05032807171059195,0.18732224905480488
19,0.2976995522941668,0.05071330026675325,0.19169604267175877
20,0.11200282332457001,0.05034792447109504,0.18946503412365567
21,0.403601851213921,0.04956661978523258,0.18799041501146319
22,0.3513328167872096,0.05093499658219325,0.18844625813549942
23,0.21570302891006976,0.052338159475306956,0.18791282357926453
24,0.3935260071012501,0.05243371795570562,0.18784003009418404
25,0.7566729607444076,0.05124806678245397,0.18862111273436333
26,0.8947805082053573,0.052220368722360355,0.19029288640173903
27,0.9051957917765302,0.05108136465556756,0.18734769459795741
28,0.6554401249009483,0.05144076328337199,0.18730695930256624
29,0.6509305743320135,0.0528139922371178,0.19025221462328656
30,0.7441396413631836,0.052426833374230375,0.1902019175324623
31,0.8183181498606293,0.05204083374792845,0.18964365912438041
32,0.4247160323658693,0.051793952212337624,0.18867387305656835
33,0.1357205630019419,0.0507267978989816,0.18887164597978046
34,0.09470698105911657,0.05131529788522837,0.19018035173926473
35,0.3826066941489109,0.05050009831892843,0.1897068194888697
36,0.6829420021744277,0.051227984623620215,0.189796512997377
37,0.8684188408202805,0.05057877112923437,0.18927499906882395
38,0.5367544228105368,0.05162692303197336,0.19054979578979392
39,0.10466687961162702,0.05099524349881679,0.18958155329410453
40,0.1457851848484596,0.05143048760249036,0.18922822594547595
41,0.1911402473922028,0.051487239844027366,0.18907806270989236
42,0.24419615311847032,0.05209667853038602,0.1897910166685517
43,0.81486384676241,0.052246046922806766,0.1897238279110438
44,0.6425911664608537,0.05135753871955884,0.18930072464951353
45,0.3177313972019642,0.050908432011306015,0.19010901808712344
