sample_idx,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9
0,0.6137052313253561,0.023644054804052184,0.13655813147168794,0.011007858735203047,0.010472237110667248,0.00011316832524399523,0.0003627293559461675,0.001305017161930766,0.7406607780315343
1,0.5821575323243429,0.02353646216988159,0.1365630270605912,0.011123529568122348,0.010542736671219965,0.00011534561320181158,0.0003612069667899842,0.0012992147701640366,0.7405057878326937
2,0.49673210058195527,0.02311866708090804,0.13613221457720537,0.011124597174721251,0.010526773932545641,0.00011444356832635005,0.0003611877916291917,0.0012792783544656183,0.739530698188534
3,0.4321408415386352,0.023077566673792016,0.1368165481101543,0.011102053078811402,0.01047327595983738,0.00011635242888075048,0.0003659773700321889,0.0013204505224075902,0.7410628063983453
4,0.6824450348010604,0.02359915363776821,0.1370270073132278,0.010983980092392431,0.010435603588923592,0.00011522826207222003,0.0003623455133210385,0.001298124166489778,0.7402383229443057
5,0.7293604401174432,0.024502870739371185,0.13722848368730722,0.010931884499687405,0.010438740695922988,0.00011400971699682128,0.00036201061742724416,0.0012858606764225566,0.7396267479608879
6,0.295145327635542,0.025367925940483205,0.13831126529184112,0.011080275978709975,0.010574613746849648,0.00011487433781343093,0.00036110419278601036,0.0012579074445243643,0.7385847796569773
7,0.07282102508519961,0.025958569137427223,0.13914918891794048,0.011459229735489962,0.010776466702607013,0.0001203029879905948,0.0003611611297084094,0.0012359923419643648,0.7374623722230649
8,0.07818148682926762,0.025532821517957993,0.1392870077910715,0.011582888128552238,0.010840417192209184,0.00012143378980444819,0.00036305297316885365,0.0012483837847632184,0.7380277575279504
9,0.1415243975161995,0.025088919709878366,0.13848042419091233,0.011507983063797633,0.010735955359402638,0.0001232860240267808,0.00036537875072839565,0.001306111301704438,0.7407428378872585
10,0.13175086692419247,0.02482144325050517,0.13809524507095383,0.011336220161288435,0.010653407902468826,0.00012023246651282626,0.00036412347868319817,0.0013464410067759447,0.7426750800033516
11,0.15801082324420246,0.025037207665538408,0.13864464798467924,0.011256813715532,0.010615175589454351,0.00011850338087360246,0.0003655315825353833,0.0013881627936034313,0.7445693364791413
12,0.14456247838958058,0.02536546311278165,0.13899728053282834,0.011278318970029177,0.010656531434389827,0.00011948092302360713,0.0003649513548595884,0.0014131976976096139,0.7456203989935819
