sample_idx,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7
0,0.1093257500106235,0.08035746767647645,0.22076817853047515,0.0005082974589776246,0.000915780988065551,0.00042453615818860424,0.7609517318841232
1,0.21218168096462453,0.10149208828297052,0.29321795805322204,0.00045667927216763715,0.0009094295502896088,0.0004250212420700006,0.7594627455748035
2,0.18190825791470644,0.0821162117751344,0.3033627692138403,0.000378810776922367,0.0008886107160436252,0.0004505974304563898,0.7601037001094333
3,0.20704792074541722,0.07161804171371455,0.28602748564568914,0.00037608439029679364,0.0008639915167716339,0.0005047804582511972,0.7658474667225363
4,0.3411114332385896,0.08594363863085563,0.22324115460710203,0.0004519154956720284,0.0008969092933344136,0.0004782397236171576,0.7624754247113084
5,0.34897607764990624,0.08776962339190542,0.21813943838032313,0.0004735682367975613,0.000880696720357621,0.0005019201636223825,0.7650143555278275
6,0.1070970554365761,0.08925106564232,0.21605951255262834,0.0004652987310540535,0.0008795685314322288,0.0004998287409699875,0.7648275995635925
7,0.07081550781238521,0.08655454832282705,0.216054020033985,0.0004279018941489854,0.0008820532474992371,0.0004728469251924494,0.7624226543598788
8,0.1532038865564872,0.08900562691732838,0.2017427127381357,0.00044066176661439194,0.0008886695575616166,0.00047214137623863284,0.7621387291564845
9,0.491065004697786,0.0888285887828002,0.21952560947205868,0.00043730653362561434,0.0009116706643056416,0.000445530827775209,0.758701166472051
10,0.7203905523554119,0.09153036953826821,0.26835057171259347,0.000412619212606824,0.0008911538723016532,0.0004661538101508045,0.7608848320546155
11,0.9176256399478092,0.08254895138993124,0.2742737412413023,0.00037807110541121514,0.0008833016576947905,0.0004750628874623519,0.7614817099041589
12,0.905473790098077,0.08477303198250563,0.2554619994588747,0.0004013042548878243,0.0008841549969476059,0.0004979419927068074,0.7631893036515662
13,0.7762452675869218,0.08682605033762758,0.22140607573166504,0.00043614354139842604,0.0008833441398553576,0.0004971794782252514,0.7635938053280148
14,0.7673785106196362,0.09505163339966305,0.19777413614668016,0.000459748244597602,0.0008936292026564541,0.0004824774406936294,0.7624314690592509
15,0.5238491750239866,0.09229577845951698,0.20746041548925231,0.00044395872267000147,0.0008970950680283751,0.00046926028558802457,0.7607918735156953
16,0.745740905822742,0.09681207944450365,0.25158502172649966,0.0004265691116688286,0.0008965376263719849,0.00046318525865518545,0.7604980992556182
17,0.3547706145454763,0.08476225015630001,0.2540450747361629,0.000408605657832406,0.0008959652466717927,0.00046010493974757427,0.7605641310422369
18,0.1942164487682695,0.08919407334865737,0.264994740755208,0.0004045505864768151,0.0009082952808497913,0.000451752588231602,0.7591862518222766
19,0.064603008896705,0.0955634629232468,0.2815341381977998,0.0004224666598644511,0.000896767468208215,0.0004693153839036013,0.7617136043575623
20,0.023520318585398048,0.1192936904486035,0.32230795631587583,0.0004229495520847726,0.0009035335431664127,0.00045318497790680645,0.7603002873278433
21,0.22410813412625086,0.0781147777389164,0.2721922089309765,0.00041642932666519084,0.0008846971555903638,0.000479775230726176,0.7636671754883126
22,0.6268723835607413,0.07956090746813083,0.23471504986932845,0.00043483831731938594,0.0009122934579698372,0.0004540856299961593,0.7598405779648176
23,0.8890644766120583,0.09286099992184882,0.2230296454256515,0.0004915308034444399,0.0008930288894928307,0.0004858541206421707,0.764620834301414
24,0.8486356590375049,0.08944527355043441,0.23813778078381542,0.00048510390967604344,0.0009130878357079819,0.00043455113695001213,0.7596148951138413
25,0.46098040269732854,0.0742620121377916,0.2248097049104103,0.0004479086144252298,0.000898083132876426,0.00045281214228021227,0.7615879462791719
26,0.38469415628731873,0.0798699704242204,0.23165588188849284,0.0004272431363652185,0.000904191844128821,0.0004448894429516237,0.7594510195901036
27,0.7272367497126182,0.0902346600303936,0.2298285151839511,0.0004669594957059653,0.0009033579550343784,0.00045378632317061296,0.7607081913645667
28,0.7915865128069117,0.08938178977982958,0.2549892922237025,0.0004598706000189523,0.0008937587214573606,0.000461987140922826,0.761980562790349
29,0.8455805741130987,0.09097515379750398,0.27427577147367466,0.00042580922146562283,0.0008996706791527531,0.0004535943936839759,0.7609018194390071
