sample_idx,CKA
0,0.539681473944486
1,0.3256070380233853
2,0.36771217577202475
3,0.7569475829575797
4,0.6944308154455903
5,0.6757492643405888
6,0.5741152444849359
7,0.5093721706865231
8,0.2924321799043421
9,0.34339192601480106
10,0.8659618463214238
11,0.8580148057910705
12,0.7718609226839415
13,0.1279339950404269
14,0.8912856412603557
15,0.8734330203151464
16,0.6157029123036063
17,0.5594884635624489
18,0.7017474935353255
19,0.5346761833328022
20,0.3811711866705978
21,0.7692559482464146
22,0.5970972084172995
23,0.5028757564545895
24,0.6046733526473703
25,0.6735355661464295
26,0.7649824020495346
27,0.10411652821694628
28,0.8313684238271334
29,0.8191849366499079
30,0.839504885647077
31,0.8045009432465909
32,0.4598016463312439
33,0.41924298247993175
34,0.789557190214109
35,0.8169693881412964
36,0.47484301529616035
37,0.6891923617890484
38,0.4545900687815616
39,0.9039469822576716
40,0.8451328845643165
41,0.8563747983213713
42,0.7853540006075753
43,0.8088825560383611
44,0.8466658529494174
45,0.8233900751415173
46,0.5942042730916339
47,0.5848265583857569
48,0.8552297016640529
49,0.5057857582236727
50,0.28133351096659565
51,0.7838245214426673
52,0.9122566000174309
53,0.7612406044029378
54,0.6262763685900624
55,0.4986262644471431
56,0.14754596260653563
57,0.2725859441912415
58,0.8219561678955951
59,0.8887981677819604
60,0.6264257894296827
61,0.5948155766207609
62,0.9093107955133636
63,0.8503171827656795
64,0.35063994476729365
65,0.3201246453199136
66,0.7551316665526175
67,0.7194184597032725
68,0.8627185955351181
69,0.5925293303870154
70,0.25243659057320633
71,0.2875331748949095
72,0.18589228923311318
73,0.22533833522971236
74,0.4705674144287558
75,0.6162009574206414
76,0.7187383045431344
77,0.7831034403140789
78,0.5171617925431139
79,0.2358743933115911
80,0.5355648497380391
81,0.8306831553654693
82,0.5528129485238431
83,0.3859109503736394
84,0.757801611294084
85,0.8387534695296439
86,0.7422515968411899
87,0.5646968450988454
88,0.6746165695559239
89,0.6358732916526117
90,0.8358952820352075
91,0.8470258304486598
92,0.7175325198523996
93,0.884919050971042
94,0.8509781850905545
95,0.8509692925506108
96,0.8465813844824133
97,0.29751091034431965
98,0.5047502471859961
99,0.8784278093970808
100,0.7886721548300395
101,0.6418850165925312
102,0.7518692874550656
103,0.6487038085492904
104,0.8445362540700344
105,0.892961518533407
106,0.849969634412918
107,0.7189236122811512
108,0.5450535771300185
109,0.5835752881314158
110,0.5309804224549418
111,0.5248061719767785
112,0.330651523345839
113,0.39505445599800115
114,0.493146680205389
115,0.37221770384543884
116,0.2622396174843846
117,0.6850146889828965
