sample_idx,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6
0,0.183190920023092,0.023542299653479204,0.13681862284003565,0.011153580610208769,0.34959703206901893,0.05801136434174303
1,0.38401876816511005,0.02266122874808818,0.13804133449851053,0.011117886924226994,0.350809211114542,0.05819940896773157
2,0.7857143115712594,0.02183336135595415,0.13717905877868386,0.011113020689494824,0.3505101232555189,0.05804355582094001
3,0.6029300632859818,0.02090973337087798,0.13696088141330753,0.010948449968644747,0.35175045855617815,0.057817900551378365
4,0.16373115237828484,0.02083467573444242,0.13603721295014604,0.010870656033558967,0.3527405615899154,0.05821324281343199
5,0.0962272299911422,0.02066899951578316,0.13458540760618187,0.01100544039989515,0.3511416034026059,0.058040036626937797
6,0.11401776797808172,0.02025494664310523,0.13506577155346944,0.010912778810369228,0.3518021681034964,0.05800145041686977
7,0.08266965945167137,0.02093803322009935,0.13439744938908715,0.010857832621339547,0.3518712945960176,0.05805716614381762
8,0.24860131639456962,0.021317521893775226,0.1350397838919356,0.010911965492297226,0.3515101080949262,0.05790604109095643
9,0.5925019204463411,0.022199121890552176,0.13537159300622525,0.011041846652020348,0.35057214025866923,0.05807422155938724
10,0.9595352652167553,0.022590974847422007,0.13573087215152957,0.010981294897777438,0.35077924106635194,0.05815276059616559
11,0.9557134479680933,0.023110817946146556,0.13659634802390752,0.011002253479919566,0.35144098343118035,0.05803855400876923
12,0.791920512366264,0.023061805649075007,0.13741444096227928,0.01128070944830517,0.3496378467205291,0.05797799761370759
13,0.7497130078662725,0.023011848573199156,0.13749289501761652,0.011129462559923753,0.3512891806648569,0.05842559518596657
14,0.7449361096454488,0.022161597193171234,0.13645975837560564,0.011051440223235565,0.3508802321240876,0.0582185022732552
15,0.5840575148970981,0.022024133734279583,0.13623524566119505,0.011080903612805781,0.3505931150986106,0.05810082230142721
16,0.5742006962279114,0.02220501322806101,0.13604196838519766,0.011063768657599171,0.35062937258162685,0.058094937326562346
