sample_idx,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6
0,0.07199903475102165,0.021355801928207407,0.1349426302808615,0.010736017369021189,0.3500799138535614,0.05759308661670559
1,0.20669686415123179,0.021981213891317797,0.13629020216900523,0.010806050908521825,0.34586882945996356,0.05849513456345001
2,0.234925975276564,0.02269007341348439,0.13530271923555348,0.010671860277814749,0.35494134643011466,0.05742572920795641
3,0.22900362319907341,0.02292140383758523,0.13586421916983904,0.010849465617529419,0.3463577661780093,0.05785757917265155
4,0.30397166821114563,0.022667777801921418,0.13692370113991936,0.011099757704238433,0.3466777185025267,0.057773717895668986
5,0.23964922408728628,0.022390030255984406,0.13646379094442718,0.010899460563238428,0.3462347424089175,0.057883851172838785
6,0.10092291802788123,0.022701988968857445,0.13680224457568657,0.010818107629653961,0.3447530756141399,0.05696212355982555
7,0.13569875914962726,0.022670386718267155,0.13547040146522848,0.010766705803784804,0.35575975729983067,0.05654193994028345
8,0.10945638458313744,0.022530418146514797,0.1354894000540866,0.010853574570249602,0.34851220798453164,0.05676731600887597
9,0.4686879771700294,0.022702831489767594,0.13663386650948106,0.010865403380314054,0.3489710669302586,0.05681156945732224
10,0.802532790619871,0.02337332963559957,0.13751437544605738,0.010936902622413203,0.35018891997375057,0.05670923451847221
11,0.9628032398041187,0.02382469280435562,0.13757260268521576,0.010973507036206032,0.35049008131943693,0.05638851860212957
12,0.8630507174395389,0.0240011705055152,0.13752599219441908,0.011110175080730422,0.3504609754507956,0.0562125517248836
13,0.8575156089516665,0.023445792502093443,0.137161274125846,0.011148820545785587,0.35006220213746053,0.056121574731549995
14,0.7855580312889547,0.023165743715343634,0.1376108472797566,0.011086049969664225,0.34516810462439806,0.05594437911459915
15,0.5323372607105279,0.02333630626826122,0.1373834801547742,0.010979225543487625,0.34965944111518643,0.056516357190382394
16,0.8050315775986083,0.02368699804452923,0.1380509547193275,0.010969363123847997,0.3506100101732388,0.056361388240901755
