sample_idx,Layer_1,Layer_2,Layer_3,Layer_4
0,1.048539764311344,0.031065529565924788,0.1548226027258528,0.15722913834000218
1,1.048539764311344,0.031065529565924788,0.1548226027258528,0.15722913834000218
2,1.048539764311344,0.031065529565924788,0.1548226027258528,0.15722913834000218
3,1.048539764311344,0.031065529565924788,0.1548226027258528,0.15722913834000218
4,0.4748228635306554,0.03117706477471116,0.15450932329596978,0.15722845701334653
5,0.2420157084420147,0.03129741460154278,0.15415508700450908,0.15719725742996893
6,0.17522072038117142,0.031673136746901975,0.15393429667470004,0.15717953716475686
7,0.3104141554064299,0.032076781611729,0.15406197094851248,0.1572806540000672
8,0.5686738141138745,0.03213792409913718,0.1542369526596481,0.1572477940736654
9,0.8014788900103729,0.031725631736661986,0.15568181385695745,0.15850776649776666
10,1.0,0.03098627767150164,0.15616322197185473,0.1585079431956774
11,1.0,0.03098627767150164,0.15616322197185473,0.1585079431956774
12,1.0,0.03098627767150164,0.15616322197185473,0.1585079431956774
13,1.0,0.03098627767150164,0.15616322197185473,0.1585079431956774
14,1.0,0.03098627767150164,0.15616322197185473,0.1585079431956774
15,0.47404356002384784,0.03096345862083516,0.1562424990733069,0.158508138035521
16,0.9400014408872853,0.030982414069579245,0.15618763280592907,0.15852357736391898
17,0.7010165126175985,0.030961689554871996,0.1560002334642946,0.15852959208908268
18,0.49660951962114497,0.031063008938058023,0.15584510948672692,0.1584915123120496
19,0.47181497038269715,0.0313390988137604,0.15583436651161908,0.1585626356045694
20,0.6376315279179798,0.03149690749642364,0.15557551427099892,0.15822259199777788
21,0.6170298513885645,0.0311328233082504,0.15702792947959432,0.15897445356244955
22,0.23991703662795938,0.03044352755392199,0.15822542921376626,0.15902757571164172
23,0.17584764609626502,0.029939585056557805,0.15887637146812772,0.1591839404721651
24,0.3131609373289861,0.02884930169553679,0.1586719603478589,0.1590722690642017
25,0.9353911421255641,0.028859076223722746,0.15813184044486195,0.16011738286631505
26,0.738489587621382,0.030053935342230442,0.15207596586207528,0.1548261937505917
27,0.1650637180030694,0.03247664815425799,0.15113991666978144,0.1555062147361076
28,0.2949519491565068,0.03347061741230861,0.15132044973259584,0.15583858408495466
29,0.6274492613264764,0.03356362056952278,0.15197623043509134,0.1557402093548046
30,0.8934395064513337,0.03266387800694204,0.15597114875371898,0.1593978622877127
31,0.22051642725506648,0.03094055146422281,0.15703735515522677,0.15910910216909813
32,0.311584075582625,0.030641322953755212,0.15685380796051107,0.15888869831113928
33,0.569198993660379,0.03061183543780499,0.1568197265990493,0.15892932092557877
34,0.8014433732572437,0.030758809280438615,0.15639165929874466,0.158562781279042
35,1.0,0.03098627767150164,0.15616322197185473,0.1585079431956774
36,1.0,0.03098627767150164,0.15616322197185473,0.1585079431956774
37,1.0,0.03098627767150164,0.15616322197185473,0.1585079431956774
38,0.4739551389728849,0.030944161564002037,0.15629378335604027,0.15850793598916324
39,0.3295708199163323,0.030871205608969166,0.15643259493199357,0.15852196818111097
40,0.3041760788267568,0.030748184525141053,0.15657250787481802,0.15854798897848477
41,0.4708787584133488,0.030489829554016246,0.15650924928198373,0.15850768450635433
42,0.7200295595936224,0.030571463790334374,0.15633378914804974,0.1584882833282124
43,0.5371075478984673,0.031178633459392646,0.15585243978818508,0.15896531122979674
44,0.22966332913927645,0.03182560416961122,0.15463880810136577,0.15859014743384825
45,0.18490956098783706,0.032446521300632414,0.15362954297678189,0.15799077936161987
46,0.33906420364625156,0.03346196232616416,0.1538288611080717,0.1583168134500379
47,0.6101833068984293,0.0335904607615648,0.15436958788616595,0.15808106422513168
48,0.8465194280436485,0.03251982822697819,0.1572303335132521,0.16033315302371676
49,0.34809142898271717,0.03066924463577958,0.15839919874805353,0.16044996923531651
50,0.5966132286213441,0.03075412251723675,0.15832205813032196,0.1603929562853933
51,0.8014359158377542,0.030800100177170386,0.15784558079775557,0.16016165957469564
52,1.0134148807124184,0.03078814761622284,0.1581730529383064,0.16029293014303536
53,0.47435164202808244,0.030792069571194625,0.15815310623274437,0.16029270106080673
54,0.45160214514945374,0.03080457982196816,0.15810242608531744,0.16028960125458047
55,0.8170798687096716,0.030892209466513165,0.15823644859859753,0.16029848214802078
56,0.941565473615992,0.03104506312076305,0.1583597446351972,0.16029551326725588
57,0.9400850836552807,0.030985787338071558,0.1582631161631105,0.16022649866467964
58,0.8478031992310746,0.031006493756027376,0.15826873403044128,0.16078701503688886
59,0.6941190092808118,0.03155087075791296,0.15807701646468475,0.16058546506409255
60,0.31372070910580263,0.03144939054665663,0.15406680672997275,0.15713778502002618
61,0.16396563654966556,0.030571388526406396,0.1592581595995224,0.16045049023328617
62,0.1427677359834012,0.02984513545360401,0.15959429054126806,0.16050511149497126
63,0.8671894917588057,0.029600534496597164,0.15905921018014102,0.16062270278858948
64,0.86321640465085,0.03000539005683922,0.15768913305110777,0.159964245428451
65,0.37089760715054665,0.031145217146132054,0.15618427474647778,0.15926927618926878
66,0.31015492447213355,0.032174486869018026,0.15601710925115664,0.15933326244777724
67,0.3762030564644063,0.03229040899266,0.15608163647651696,0.15922764465961337
68,0.29873689367805445,0.03188884144811499,0.1570652333504161,0.1602870308062373
69,0.09415564592064019,0.031253822579640045,0.1572335110285723,0.1602255287338299
70,0.33894319520964744,0.03175085576094561,0.15726912667845683,0.16027098635498438
71,0.898230584183319,0.03209731240998681,0.15778198348960593,0.16041536411280255
72,0.8172589609188886,0.03200249656612719,0.15914224281911815,0.16088389766907663
73,0.3444351199492983,0.031028736554694958,0.15881684814010166,0.160245477394944
74,0.34864546697305243,0.029780015773496427,0.1604224798337428,0.16177721737658457
75,0.5966632737664945,0.03042265257453225,0.1591646786213362,0.16101133202676965
76,0.7537944491531449,0.031179467742881606,0.15488599554381932,0.15827518225581516
77,0.25804392565077094,0.03102547259561439,0.157726070776944,0.16040059280510133
78,0.9518662102167577,0.031188727354269807,0.15798629246958673,0.1603959460367973
79,0.9475508734677232,0.03147872545977837,0.15840940740330944,0.16052172455497504
80,0.8518752110105364,0.03111267098911097,0.1587829383986985,0.16042100912082258
81,0.8188003658417582,0.030196475830532976,0.15929062842638408,0.16094853873736048
82,0.8414554139944351,0.029718149521488435,0.15950634763408178,0.16122749284446058
83,0.9824562716489215,0.030398508861553042,0.15793012418643204,0.15978419806366007
84,0.8014453765085467,0.03132261629175359,0.1579728200078414,0.1604130875219354
85,0.9893073215674754,0.030808766547576028,0.1583689338983273,0.16042201292086866
86,0.9893073215674754,0.030808766547576028,0.1583689338983273,0.16042201292086866
87,0.9893073215674754,0.030808766547576028,0.1583689338983273,0.16042201292086866
88,0.9893073215674754,0.030808766547576028,0.1583689338983273,0.16042201292086866
89,0.9893073215674754,0.030808766547576028,0.1583689338983273,0.16042201292086866
90,0.9893073215674754,0.030808766547576028,0.1583689338983273,0.16042201292086866
91,0.9893073215674754,0.030808766547576028,0.1583689338983273,0.16042201292086866
92,0.9893073215674754,0.030808766547576028,0.1583689338983273,0.16042201292086866
93,0.9893073215674754,0.030808766547576028,0.1583689338983273,0.16042201292086866
94,0.9893073215674754,0.030808766547576028,0.1583689338983273,0.16042201292086866
95,0.9893073215674754,0.030808766547576028,0.1583689338983273,0.16042201292086866
96,0.9893073215674754,0.030808766547576028,0.1583689338983273,0.16042201292086866
97,0.47435208939146367,0.030843729804771014,0.15829545770640074,0.1604221296528252
98,0.21310220112341516,0.030837296261987945,0.15826721199095117,0.16041487128402576
99,0.09417311274105877,0.030842440793001247,0.15818698998178093,0.16040113798633338
100,0.1442446143208278,0.03089936508845159,0.1582095872055156,0.16039305842736873
101,0.3479124837705486,0.030915992398975245,0.1582109979089511,0.16039807802603834
102,0.5963143963986842,0.030973530501110846,0.15853550010604678,0.16072358652344831
103,0.8014210641043646,0.030968947713230444,0.15859616318111736,0.16065482755016447
104,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
105,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
106,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
107,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
108,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
109,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
110,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
111,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
112,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
113,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
114,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
115,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
116,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
117,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
118,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
119,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
120,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
121,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
122,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
123,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
124,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
125,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
126,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
127,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
128,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
129,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
130,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
131,0.9843853269713603,0.03079008545202999,0.15843759931277146,0.16048419242200263
132,0.4742070674396811,0.030773107464505234,0.15848275673703582,0.16048411438842203
133,0.2528831484037195,0.030745153017652238,0.15855462091494388,0.16048748543273494
134,0.08564134403078705,0.030728389244401244,0.1585874188636791,0.16050000818020216
135,0.06988142953240362,0.030631135748026006,0.15861771669773272,0.1604733364518306
136,0.17498859090516627,0.030576048734621053,0.158665636164809,0.16052226625861554
137,0.30428219136932755,0.030656990599365552,0.15855360383645534,0.16046417966820026
138,0.3471837818879966,0.030754243484636845,0.15845317182663643,0.16049363621845902
139,0.5966132286213441,0.03075412251723675,0.15832205813032196,0.1603929562853933
140,0.8014359158377542,0.030800100177170386,0.15784558079775557,0.16016165957469564
141,0.4743788631844702,0.03080786769102717,0.15812343527319694,0.16029301236047322
142,0.24145518443404168,0.030832776850681975,0.15806032621617305,0.16028154349861445
143,0.17542403007420537,0.030889795326747405,0.15803509312826547,0.16028877864294422
144,0.7034077653856365,0.030862632682572833,0.15829721653769457,0.16033182493756293
145,0.3639744079303753,0.030768105607987595,0.1585369839074361,0.16032045411900198
146,0.21836292244166933,0.03050390761175803,0.1588970244477208,0.16043923189799814
147,0.31191498558879716,0.030085533180238988,0.15893393291123714,0.16042380214351437
148,0.5692735366332544,0.03009529300526481,0.15880186079132352,0.16054746342004023
149,0.8014218832700188,0.030341087919348975,0.15807611481869666,0.15990917335671684
150,1.0,0.030887717763993017,0.15769951100425217,0.15992292195674007
151,1.0,0.030887717763993017,0.15769951100425217,0.15992292195674007
