sample_idx,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6
0,0.17463252278482844,0.024511969499272812,0.14120078934249292,0.012671158729343213,0.3281523128369539,0.04311609048990239
1,0.1101521449628492,0.024591896051447182,0.14008045027168414,0.012776233562696748,0.3379582599850839,0.042711010857876985
2,0.0898081129859224,0.024227284614184774,0.1400984499107233,0.012675354129953242,0.3298143006882982,0.044717560860816796
3,0.1898344304111148,0.024362374679553045,0.13874062896285067,0.012459877713050016,0.3259018612480201,0.04275913555223643
4,0.14016507927228083,0.024713887787961242,0.14019632894964962,0.012558532430519187,0.3319356348307675,0.04398674158771443
5,0.06860856054413522,0.024733688994652003,0.14050722460578746,0.012549387791884414,0.3369547377768264,0.04029108386121161
6,0.09110196012518956,0.025109152768117204,0.14046905187536418,0.012512793246349796,0.31726974806901487,0.04591324750593562
7,0.11857851446143419,0.025822336980730443,0.1413659129177004,0.012647432144176407,0.32924171929445345,0.04473994564246364
8,0.05203779828589439,0.02634420148023897,0.1413145055249252,0.012793710975667394,0.33879675243832164,0.04495917156396401
9,0.055363346697105964,0.02649027007083604,0.13940794920753752,0.012800884141678015,0.3244881957468799,0.04249554195896044
10,0.03450138917582901,0.026367674955074638,0.1391927377727208,0.012961047050903174,0.3350816636171128,0.04453439994337882
11,0.11199420962936413,0.025436301033278763,0.13982339645588593,0.012857309096285019,0.34702139274893673,0.05520304650644803
12,0.4030538850154114,0.02466156903010719,0.13763095960609883,0.012714027939323191,0.3279609362759104,0.040787654543337215
13,0.5481001843376823,0.024959630210540373,0.1373785041480492,0.012437459284667551,0.3367388709783242,0.043899888059920844
14,0.394967129882681,0.025132448605107216,0.14017421134705277,0.012398236310653177,0.3399308982868291,0.03915592320673478
15,0.3304626386430979,0.026465937081188162,0.14043253527877397,0.012080993657674566,0.32742313411590607,0.04564441594894075
16,0.24442591721234463,0.02761068421090984,0.1422600004518808,0.012272258017435145,0.33968438991622807,0.041793846678959246
17,0.12961022755117058,0.028191704822120855,0.1395662496844371,0.013816020282441555,0.36704923966757796,0.04614490936090365
18,0.15359403013244788,0.026124183185869176,0.13893219818192248,0.01302209775314378,0.33091288134477403,0.03995942764764915
19,0.31923897758068176,0.025557192228091608,0.13824085707513822,0.007986662920261955,0.2873752379122195,0.06685523659829562
20,0.08477543569404122,0.024604127317435,0.14059201802366528,0.012425119982092392,0.33746491790898137,0.04047249603793379
21,0.4152957241635232,0.02482175335512682,0.13931647083120913,0.012195199589011607,0.3380071188792917,0.041591284667619965
22,0.3352428940232447,0.025307335154022392,0.13892359904256302,0.012180277207968992,0.3486567834880586,0.04086837401476395
23,0.23496090814866355,0.025346028443068436,0.13930760364988048,0.012134142101274392,0.33719584290963633,0.04406142767078358
24,0.42550937822102075,0.025154695897433577,0.14003053826800904,0.012025778566860157,0.3397327323491507,0.040300259531375615
25,0.7502047880066353,0.02501586090268837,0.1402114860557524,0.012299963069007158,0.33682802411791324,0.044080352389616384
26,0.8213648472172415,0.024055256019579363,0.13984295848505612,0.01259778062668837,0.35067718226007183,0.04628634178864399
27,0.9237745846211181,0.0234083120375288,0.13857162531182077,0.011992465354850768,0.33764547070603335,0.043949132787350575
28,0.5836559998151142,0.023672957981092813,0.1386012414490515,0.01174382410457897,0.33862686246238516,0.04193293340928861
29,0.6249089120559164,0.023949854798997028,0.13845895282902543,0.011873480391112023,0.33805348836160254,0.04389149304513762
30,0.7753642920900862,0.02379816194941875,0.1386154551951393,0.012151809577317985,0.3379787409835503,0.041291245842192015
31,0.8310519818893163,0.023635071377902772,0.1387641598127679,0.012086721560405578,0.3391775741614297,0.040678183285222436
32,0.41513285241731523,0.023405156036706454,0.13924208080923384,0.012022262548348372,0.34036032836581154,0.04032223595875284
33,0.1387630547485894,0.02329021140761478,0.1391386980810726,0.01196417217527701,0.3397437498992609,0.04052359285484475
34,0.10308390078405794,0.02310233866158995,0.13842391887840977,0.01194240037430161,0.33826197279321746,0.04231667753477042
35,0.3891165159091142,0.023373250536309786,0.13863092200090232,0.011956409754580566,0.3388597925903649,0.04123362880381942
36,0.6357140886074397,0.023549160271814196,0.13844526990867334,0.011943401902599016,0.33867356123736236,0.04177654391357477
37,0.8446502536495952,0.02420554615655357,0.13912401012609044,0.011940768258499213,0.3395941757726205,0.040798192825807766
38,0.5826390285447389,0.0243726669298856,0.1392092738579137,0.012105624694794037,0.3390212284019014,0.04062399019789442
39,0.06432890033144956,0.024387553851870192,0.13974212999236246,0.012184171749545225,0.3395448649360071,0.040051831904410196
40,0.15715741800839012,0.02419696857228837,0.13965457955439076,0.01211776441415624,0.3398393757917204,0.03987000213039682
41,0.2201001870437589,0.02439331450924942,0.13983288858928977,0.012083168535895972,0.3394743715651214,0.040088769154766446
42,0.2597220627244461,0.02429074778010043,0.13956077631399566,0.012133445668425558,0.33866347452933643,0.04048260150211003
43,0.7948541023031832,0.023974637485976613,0.13912920748857927,0.012089996231093636,0.33848436304412777,0.040665081976007156
44,0.6706021843783522,0.023270787434174767,0.13860638295264405,0.012140254397630001,0.3384234493299014,0.04066497819068415
45,0.3745515614871666,0.022517670106649623,0.13818845745492703,0.012122615283568616,0.33886353376339373,0.04088058965117436
46,0.13496582150812797,0.021794156016159194,0.1379175234698654,0.011906566399059959,0.3407174949720282,0.04012577933193284
47,0.010528706661719567,0.021558714392279965,0.13746071646817704,0.01170776185547795,0.3396311660616885,0.042244345798821636
48,0.022539329716448453,0.021189589199886005,0.13645177063648306,0.011691253051795636,0.3396967962005115,0.043724501440394414
49,0.45631404971431444,0.021930238897503562,0.13657790583147233,0.011612914686311426,0.3403571674243956,0.04354407246586922
50,0.852068534585414,0.0230541964550508,0.13753706546559985,0.011652037655307979,0.3392383671639644,0.043481971005273956
