sample_idx,Layer_1,Layer_2,Layer_3,Layer_4
0,0.741837026480288,0.029522905815516753,0.19877840207439446,0.20575198435275244
1,0.5081364796093446,0.03021577361968375,0.19982970020088664,0.20692696547577072
2,0.31299255001926163,0.030584571744088573,0.20020969546132794,0.20701398819565875
3,0.3529894158585375,0.029917922449357204,0.1998103306412099,0.20536789219313445
4,0.7307904815199965,0.029605047149527164,0.19994073179041305,0.20701785908638892
5,0.5208814425910198,0.03000094121979635,0.19980105663635528,0.20797830488969415
6,0.11176180001188996,0.030654278030158966,0.198312433551044,0.20681415913110313
7,0.042418524438701755,0.03137142534353643,0.19735072351381677,0.20605598795575464
8,0.17988942401787233,0.03160264289941339,0.19707909403452362,0.2048812639842127
9,0.3216161503666224,0.03158951129316123,0.19691410235624895,0.20377185862458702
10,0.24685436316272302,0.030691878670893624,0.19635260135852595,0.20250826838032787
11,0.13505899241485875,0.029983797683525548,0.19776572661796854,0.20117160487757235
12,0.05307278175233199,0.030398353197651606,0.198148201622949,0.2010580989527203
13,0.10795382421861843,0.0311652030619074,0.19554660771014987,0.2022728636762383
14,0.20592704507997917,0.031169886230230204,0.19720087541018005,0.20175904092023145
15,0.42282464330860114,0.030681644854303802,0.21060320089233442,0.2076827301471852
16,0.2808934127745939,0.02991511070617836,0.20414727645685837,0.20335956229738672
17,0.19841818179222637,0.029508299160437623,0.1969385256045053,0.20168878921143685
18,0.21795155268748412,0.029471548902382017,0.19870443541617056,0.20099951909011537
19,0.11794011722691833,0.02890241097589963,0.20251264549174586,0.2016754248891801
20,0.10911171298335964,0.028541517144686224,0.212436415929531,0.20872189674153463
21,0.17399531961413206,0.02938362536695116,0.21714253543021445,0.2123797658215123
22,0.06086633170103595,0.029211894867404165,0.2260551440977533,0.22079456550154153
23,0.06119508157556719,0.029756900802897612,0.21764952626717815,0.2134756281330561
24,0.15285271064635686,0.029446345993175638,0.22544968813830824,0.22056678405819485
25,0.7763225509968129,0.029939099603437547,0.22699243688174386,0.22240706075436356
26,0.7906075368782357,0.029666752035476418,0.22353523097667116,0.21806050319163417
27,0.6335635920765671,0.02869967016586683,0.2292623921838851,0.22272211546467613
28,0.37828137438155274,0.02786024203889359,0.2330789829949108,0.22687771687226377
29,0.5233629363238039,0.027998324653934037,0.22364890679476068,0.21821506482470399
30,0.9220421042822007,0.02846442663786275,0.22069878453239045,0.2165074545597393
31,0.49689842493555114,0.029322768579715608,0.2201211189128448,0.21543646493484137
32,0.3219601898787029,0.02868922893081638,0.22372572525445378,0.21875338380789044
33,0.35449791645562256,0.028216964726635374,0.2175607972296315,0.21344482442088286
34,0.6975268361993412,0.02857396536354695,0.22014208226733045,0.21538816189470444
35,0.8208277844194395,0.02874605362956939,0.22018573306349642,0.21509568638744003
36,0.7578992322938076,0.02762953733403717,0.21721854895413473,0.21253599274290402
37,0.6688743368261469,0.027338022826137176,0.2301191503528206,0.22497369444440507
38,0.39713252880478,0.02821148234181159,0.2246334973148657,0.2196287206358576
39,0.2789002656513251,0.02769569582300635,0.2290650020495667,0.22401869896279725
40,0.18614520097820075,0.027775580742950612,0.22796082514377547,0.222816907317672
41,0.04945671464119039,0.02778395980612236,0.22398708610273999,0.21965275973990495
42,0.5172681556769002,0.028061748090304817,0.21736227784504614,0.2135119883754808
43,0.8234514633354758,0.028768145818422353,0.2190609768816809,0.21508945937022028
44,0.7123988707879716,0.028048421213029195,0.2295413328969218,0.22371856889155972
45,0.2088638835727128,0.02780771430548723,0.23213624851459036,0.2258545574928611
46,0.07223041724740797,0.027251876464561398,0.22826924534150628,0.2215044283503621
47,0.10224560804019134,0.028090684727727244,0.2246755827349376,0.21910889104169806
48,0.04711135436426361,0.028080109157034405,0.22298827270899657,0.21659681930050045
49,0.18115659840418252,0.028120645918838783,0.22500105658068292,0.2192881770618169
50,0.36145227076911857,0.028267767314370196,0.20703113691753172,0.2044979459360069
51,0.5702283129650133,0.02823415835211318,0.20936297534552173,0.20617102859834502
52,0.9159479535222728,0.028598048102865592,0.20286616278316272,0.20253084320049408
53,0.5827167522744812,0.029734098767008388,0.19807525023995276,0.20190837616964175
54,0.0620662262760352,0.030234773216547994,0.19795110043415065,0.20221865702482034
55,0.16968702541855585,0.030194480755857844,0.2006271851758612,0.20231871758683195
56,0.8881024369144913,0.029991172570473235,0.19710432408509493,0.2006893895289188
